name,family,alpha,window_size,phase,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,compression_score,tradeoff_score
near_golden_p0_005,near_golden,0.6230339887498948,0.34,0.17,0.2727272727272727,3.0,0.23801634913625236,0.6414908323999232,0.005235602094240838,191,11.350522284689971,2.549257244611978
near_golden_p0_005,near_golden,0.6230339887498948,0.34,0.31,0.2727272727272727,3.0,0.23801634913625236,0.6414908323999232,0.005235602094240838,191,11.350522284689971,2.549257244611978
near_golden_p0_005,near_golden,0.6230339887498948,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.216952994705226,2.336005886763079
near_golden_p0_005,near_golden,0.6230339887498948,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.216952994705226,2.336005886763079
near_golden_p0_005,near_golden,0.6230339887498948,0.47,0.31,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.216952994705226,2.336005886763079
near_golden_p0_010,near_golden,0.6280339887498948,0.2,0.0,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.0,257,10.3841044802179,2.6575607780933885
near_golden_p0_010,near_golden,0.6280339887498948,0.2,0.17,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.0,257,10.3841044802179,2.6575607780933885
near_golden_p0_010,near_golden,0.6280339887498948,0.2,0.31,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.0,257,10.3841044802179,2.6575607780933885
near_golden_p0_010,near_golden,0.6280339887498948,0.34,0.0,0.2727272727272727,3.0,0.23801634913625236,0.6414908323999232,0.0,257,11.567100127723432,2.572924760425019
near_golden_p0_010,near_golden,0.6280339887498948,0.34,0.17,0.2727272727272727,3.0,0.23801634913625236,0.6414908323999232,0.0,257,11.567100127723432,2.572924760425019
near_golden_p0_010,near_golden,0.6280339887498948,0.34,0.31,0.2727272727272727,3.0,0.23801634913625236,0.6414908323999232,0.0,257,11.567100127723432,2.572924760425019
near_golden_p0_010,near_golden,0.6280339887498948,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,9.988401939957512,2.3325776209418634
near_golden_p0_010,near_golden,0.6280339887498948,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,9.988401939957512,2.3325776209418634
near_golden_p0_010,near_golden,0.6280339887498948,0.47,0.31,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,9.988401939957512,2.3325776209418634
near_golden_p0_020,near_golden,0.6380339887498948,0.2,0.0,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.0,257,10.84436357632082,2.6644646645349326
near_golden_p0_020,near_golden,0.6380339887498948,0.2,0.17,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.0,257,10.84436357632082,2.6644646645349326
near_golden_p0_020,near_golden,0.6380339887498948,0.2,0.31,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.0,257,10.84436357632082,2.6644646645349326
near_golden_p0_020,near_golden,0.6380339887498948,0.34,0.0,0.36363636363636365,2.0,0.23801634913625236,0.6414908323999232,0.006134969325153374,163,12.388003430432242,2.974948293233917
near_golden_p0_020,near_golden,0.6380339887498948,0.34,0.17,0.36363636363636365,2.0,0.23801634913625236,0.6414908323999232,0.006134969325153374,163,12.388003430432242,2.974948293233917
near_golden_p0_020,near_golden,0.6380339887498948,0.34,0.31,0.36363636363636365,2.0,0.23801634913625236,0.6414908323999232,0.006134969325153374,163,12.388003430432242,2.974948293233917
near_golden_p0_020,near_golden,0.6380339887498948,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,9.84498615048453,2.330426384099769
near_golden_p0_020,near_golden,0.6380339887498948,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,9.84498615048453,2.330426384099769
near_golden_p0_020,near_golden,0.6380339887498948,0.47,0.31,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,9.84498615048453,2.330426384099769
rational_1_2,rational_approx,0.5,0.2,0.0,1.0,1.0,0.0908648212348392,0.6945211354302263,0.5,2,32.25196850393701,3.339258392128829
rational_1_2,rational_approx,0.5,0.2,0.17,1.0,0.0,0.0454324106174196,0.8472605677151133,1.0,1,45.010989010989015,3.6279042674497215
rational_1_2,rational_approx,0.5,0.2,0.31,1.0,1.0,0.0908648212348392,0.6945211354302263,0.5,2,32.25196850393701,3.339258392128829
rational_1_2,rational_approx,0.5,0.34,0.0,1.0,1.0,0.0908648212348392,0.6945211354302263,0.5,2,32.25196850393701,3.339258392128829
rational_1_2,rational_approx,0.5,0.34,0.17,1.0,0.0,0.0454324106174196,0.8472605677151133,1.0,1,45.010989010989015,3.6279042674497215
rational_1_2,rational_approx,0.5,0.34,0.31,1.0,1.0,0.0908648212348392,0.6945211354302263,0.5,2,32.25196850393701,3.339258392128829
rational_1_2,rational_approx,0.5,0.47,0.0,1.0,1.0,0.0908648212348392,0.6945211354302263,0.5,2,32.25196850393701,3.339258392128829
rational_1_2,rational_approx,0.5,0.47,0.17,1.0,0.0,0.0454324106174196,0.8472605677151133,1.0,1,45.010989010989015,3.6279042674497215
rational_1_2,rational_approx,0.5,0.47,0.31,1.0,1.0,0.0908648212348392,0.6945211354302263,0.5,2,32.25196850393701,3.339258392128829
