flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,basin_radius,basin_depth,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_basin_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.12,0.68,13,0.14,0.12,0.12,0.24,1,0.55,0.7846153846153846,0.4396551724137931,0.004517221908526256,0.27498588368153587,0.5004500450045004,0.21692169216921692,0.5004500450045004,0.2709270927092709,0.1638163816381638,0.49954995499549953,0.07033539563660046,0.4626996252206529,0.6980558617091799
golden,phi,0.6180339887498948,13,13,0.12,0.68,13,0.2,0.08,0.12,0.36,1,0.55,0.8168642951251647,0.44960116026105873,0.003952569169960474,0.21739130434782608,0.5141666666666667,0.23,0.5141666666666667,0.18416666666666667,0.16833333333333333,0.48583333333333334,0.07880169325952459,0.4878293802406135,0.7413922795741408
golden,phi,0.6180339887498948,13,13,0.12,0.68,21,0.08,0.04,0.04,0.24,2,0.55,0.8876860622462788,0.47025089605734766,0.004517221908526256,0.2077922077922078,0.46581691772885286,0.23232908458864426,0.46581691772885286,0.19640787949015065,0.17439165701042875,0.5341830822711472,0.09931618365353305,0.44972205286344646,0.7333708085117999
golden,phi,0.6180339887498948,13,13,0.12,0.68,21,0.14,0.08,0.12,0.36,2,0.35,0.8373071528751753,0.45572519083969465,0.003952569169960474,0.256352343308865,0.46767617938264416,0.20617355853232383,0.46767617938264416,0.1403610949330227,0.17355853232382062,0.5323238206173558,0.08205796157603387,0.45029783740486207,0.7396106857931556
golden,phi,0.6180339887498948,13,13,0.12,0.68,21,0.2,0.12,0.04,0.36,1,0.35,0.7450381679389313,0.42694663167104113,0.003952569169960474,0.35064935064935066,0.49008885850991113,0.17156527682843473,0.49008885850991113,0.15105946684894053,0.1572112098427888,0.5099111414900889,0.06317160534028005,0.44788057638046574,0.7204932124586504
golden,phi,0.6180339887498948,13,13,0.12,0.68,21,0.2,0.12,0.12,0.36,1,0.55,0.7511591962905718,0.4289496910856134,0.003952569169960474,0.35629587803500845,0.4942450914014895,0.16858496953283683,0.4942450914014895,0.14962762356127285,0.16181448882870683,0.5057549085985105,0.05633344187561055,0.4524279855711736,0.7223993114783863
golden,phi,0.6180339887498948,13,13,0.12,0.78,13,0.08,0.08,0.04,0.24,2,0.55,0.8973684210526316,0.47295423023578365,0.005081874647092038,0.18068887634105024,0.38881987577639754,0.1372670807453416,0.38881987577639754,0.15900621118012423,0.0,0.6111801242236025,0.09117551286225985,0.4791398455757835,0.7562972829193266
golden,phi,0.6180339887498948,13,13,0.12,0.78,13,0.2,0.04,0.04,0.36,1,0.35,0.900497512437811,0.4738219895287958,0.004517221908526256,0.13269339356295878,0.4013503375843961,0.17179294823705926,0.4013503375843961,0.13653413353338334,0.0,0.5986496624156039,0.09833930315858026,0.4855291538021076,0.7772612812490932
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.14,0.04,0.08,0.36,2,0.55,0.7091836734693877,0.41492537313432837,0.06203208556149733,0.22139037433155082,0.8075221238938053,0.16371681415929204,0.8075221238938053,0.11946902654867257,0.0,0.19247787610619468,0.0371214588082058,0.5968414415809635,0.7507042161995325
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.14,0.12,0.12,0.24,2,0.35,0.7227722772277227,0.41954022988505746,0.059893048128342244,0.38181818181818183,0.8064516129032258,0.14076246334310852,0.8064516129032258,0.23460410557184752,0.0,0.1935483870967742,0.03223705633344188,0.5925960300925814,0.7072324554201675
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.08,0.08,0.04,0.36,2,0.35,0.6572327044025157,0.396584440227704,0.05454545454545454,0.38181818181818183,0.7977099236641222,0.20038167938931298,0.7977099236641222,0.10305343511450382,0.0,0.20229007633587787,0.03191142950179095,0.5907093970500661,0.7472839713873605
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.08,0.12,0.08,0.36,2,0.35,0.6007067137809188,0.37527593818984545,0.06203208556149733,0.453475935828877,0.7843601895734598,0.16824644549763032,0.7843601895734598,0.1066350710900474,0.0,0.2156398104265403,0.02637577336372517,0.5893987010181803,0.732478868163901
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,0.08,0.08,0.36,1,0.55,0.6005665722379604,0.3752212389380531,0.06417112299465241,0.3315508021390374,0.7901907356948229,0.24250681198910082,0.7901907356948229,0.17438692098092642,0.0,0.2098092643051771,0.028655161185281667,0.5930754085560379,0.7211261942537673
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,0.08,0.12,0.36,2,0.55,0.6798679867986799,0.40471512770137524,0.05668449197860963,0.39893048128342246,0.7782101167315175,0.16536964980544747,0.7782101167315175,0.10894941634241245,0.0,0.22178988326848248,0.030934549006838164,0.5916848323321939,0.7497165345811765
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.08,0.04,0.08,0.36,2,0.35,0.7188264058679706,0.4182076813655761,0.06844919786096257,0.17967914438502675,0.6798245614035088,0.14035087719298245,0.6798245614035088,0.1162280701754386,0.0,0.3201754385964912,0.04005210029306415,0.5973816588889729,0.781348668320153
silver,metallic,0.43821356237309517,21,13,0.04,0.78,13,0.08,0.08,0.12,0.36,1,0.35,0.7268292682926829,0.4209039548022599,0.06951871657754011,0.17326203208556148,0.4430379746835443,0.16139240506329114,0.4430379746835443,0.15822784810126583,0.0,0.5569620253164557,0.039400846629762294,0.5933882283264595,0.7614400927032605
silver,metallic,0.43821356237309517,21,13,0.04,0.78,13,0.2,0.12,0.12,0.24,2,0.35,0.6935933147632312,0.4095394736842105,0.059893048128342244,0.2898395721925134,0.4609571788413098,0.10075566750629723,0.4609571788413098,0.16120906801007556,0.0,0.5390428211586902,0.03614457831325301,0.5993139473715081,0.7485015173097187
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.14,0.04,0.08,0.36,1,0.55,0.7671568627450981,0.43411927877947293,0.0748663101604278,0.15401069518716579,0.4260355029585799,0.17357001972386588,0.4260355029585799,0.14003944773175542,0.0,0.5739644970414202,0.040703353956366005,0.5950532794699475,0.7735723403577585
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.14,0.04,0.08,0.36,2,0.35,0.742014742014742,0.42595204513399154,0.06631016042780749,0.1754010695187166,0.4059259259259259,0.1274074074074074,0.4059259259259259,0.08444444444444445,0.0,0.5940740740740741,0.0429827417779225,0.5981461058805202,0.7776275210329683
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.2,0.08,0.04,0.36,2,0.55,0.6781914893617021,0.4041204437400951,0.058823529411764705,0.2663101604278075,0.418212478920742,0.10792580101180438,0.418212478920742,0.08431703204047218,0.0,0.581787521079258,0.03907521979811136,0.5982823481420609,0.7634766638475247
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.2,0.12,0.12,0.24,1,0.55,0.6610169491525424,0.3979591836734694,0.06631016042780749,0.3048128342245989,0.4103194103194103,0.16461916461916462,0.4103194103194103,0.19656019656019655,0.0,0.5896805896805897,0.03223705633344188,0.597681132895101,0.726583804557426
silver,metallic,0.43821356237309517,21,13,0.08,0.58,13,0.08,0.12,0.04,0.24,1,0.55,0.688953488372093,0.4079173838209983,0.07165775401069518,0.306951871657754,0.7553648068669528,0.2317596566523605,0.7553648068669528,0.2875536480686695,0.08583690987124463,0.2446351931330472,0.0371214588082058,0.5943453422051828,0.6904849189501269
