mode,anchor,family,alpha,offset,window_width,beta,learning_rate,model_rate,surprise_high,revision_threshold,coherence_limit,write_threshold,instability_penalty,write_count,witness_count,admission_rate,write_rate,witness_rate,revision_rate,mean_revision_size,instability,embodied_cost,delayed_retention,pollution,phase_lock_resistance,composite_score
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.06,0.17,0.36,0.1,0.32,0.44,0.35,24.0,0.0,0.3380281690140845,1.0,0.0,0.3380281690140845,0.08138615192821602,0.054654236067137846,0.019128982623498245,1.0,0.01172447484123107,0.6414901989774744,0.747356318059577
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.06,0.17,0.52,0.025,0.18,0.44,0.75,25.0,15.0,0.5797101449275363,0.625,0.375,0.5797101449275363,0.06781493101333619,0.05892693726533997,0.044195202949004975,0.625,0.012212994626282364,0.5718728457533304,0.763550937049635
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.06,0.17,0.52,0.025,0.18,0.44,0.75,27.0,22.0,0.6533333333333333,0.5510204081632653,0.4489795918367347,0.6533333333333333,0.06186668471239132,0.06097643658639408,0.045732327439795564,0.5510204081632653,0.013190034196384953,0.6265654912682861,0.7542329766696376
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.06,0.17,0.52,0.025,0.18,0.44,0.75,35.0,30.0,0.9154929577464789,0.5384615384615384,0.46153846153846156,0.9154929577464789,0.0642714957870211,0.06324952022039802,0.047437140165298514,0.5384615384615384,0.01709819247679531,0.7460701830419603,0.714052607284896
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.06,0.17,0.52,0.025,0.18,0.44,0.75,26.0,6.0,0.47058823529411764,0.8125,0.1875,0.47058823529411764,0.06941480611498951,0.057640829156116805,0.04323062186708761,0.8125,0.012701514411333659,0.7209362699873765,0.8047650920221845
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.06,0.17,0.52,0.025,0.18,0.44,0.75,22.0,16.0,0.5352112676056338,0.5789473684210527,0.42105263157894735,0.5352112676056338,0.06248156237752104,0.05846927545582306,0.043851956591867296,0.5789473684210527,0.01074743527112848,0.6476397270924128,0.792324228316703
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.11,0.08,0.24,0.025,0.18,0.44,0.35,34.0,14.0,0.6956521739130435,0.7083333333333334,0.2916666666666667,0.6956521739130435,0.03182311017723374,0.05458522207359646,0.01910482772575876,0.7083333333333334,0.016609672691744015,0.5491653813661861,0.6995439755726999
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.11,0.08,0.24,0.025,0.18,0.44,0.35,37.0,24.0,0.8133333333333334,0.6065573770491803,0.39344262295081966,0.8133333333333334,0.02949303444608902,0.055391440745446004,0.0193870042609061,0.6065573770491803,0.0180752320468979,0.6054615834811687,0.681526993333113
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.11,0.08,0.24,0.025,0.18,0.44,0.35,35.0,34.0,0.971830985915493,0.5072463768115942,0.4927536231884058,0.971830985915493,0.029468168511520225,0.056325140857369664,0.019713799300079382,0.5072463768115942,0.01709819247679531,0.7437526444592104,0.6896647476796167
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.11,0.08,0.24,0.025,0.18,0.44,0.35,39.0,12.0,0.75,0.7647058823529411,0.23529411764705882,0.75,0.03259125856470195,0.05459673483804549,0.01910885719331592,0.7647058823529411,0.019052271617000488,0.6817318074647634,0.6997604782921777
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.11,0.08,0.24,0.025,0.18,0.44,0.35,29.0,16.0,0.6338028169014085,0.6444444444444445,0.35555555555555557,0.6338028169014085,0.029399706328244145,0.05432296683562571,0.019013038392468998,0.6444444444444445,0.014167073766487542,0.6505477835729403,0.7413534583369362
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.11,0.08,0.24,0.1,0.18,0.44,0.55,35.0,0.0,0.5072463768115942,1.0,0.0,0.5072463768115942,0.039029735960332324,0.05288112990739616,0.02908462144906789,1.0,0.01709819247679531,0.5484145333358634,0.7311222263368022
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.11,0.08,0.24,0.1,0.18,0.44,0.55,37.0,0.0,0.49333333333333335,1.0,0.0,0.49333333333333335,0.039895958585384396,0.05291174372126811,0.029101459046697465,1.0,0.0180752320468979,0.6331261367466321,0.7501633407318474
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.11,0.08,0.24,0.1,0.18,0.44,0.55,34.0,0.0,0.4788732394366197,1.0,0.0,0.4788732394366197,0.04399882286649136,0.05253533093384467,0.028894432013614572,1.0,0.016609672691744015,0.712039059114175,0.7702729716626896
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.11,0.08,0.24,0.1,0.18,0.44,0.55,39.0,0.0,0.5735294117647058,1.0,0.0,0.5735294117647058,0.03929479416676966,0.05292302379907022,0.029107663089488624,1.0,0.019052271617000488,0.669188610149051,0.7310724589347132
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.11,0.08,0.24,0.1,0.18,0.44,0.55,29.0,0.0,0.4084507042253521,1.0,0.0,0.4084507042253521,0.03707924010095173,0.05252869787826148,0.028890783833043814,1.0,0.014167073766487542,0.6423798595960906,0.7698636283963719
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.11,0.08,0.36,0.055,0.55,0.7,0.35,31.0,0.0,0.4492753623188406,1.0,0.0,0.4492753623188406,0.04005701887743132,0.05271480757855357,0.01845018265249375,1.0,0.015144113336590131,0.5591437002655293,0.7526620872148301
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.11,0.08,0.36,0.055,0.55,0.7,0.35,32.0,0.0,0.4266666666666667,1.0,0.0,0.4266666666666667,0.04073511391059077,0.05273169331081431,0.018456092658785006,1.0,0.015632633121641426,0.6476911563126757,0.7750026888869155
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.11,0.08,0.36,0.055,0.55,0.7,0.35,35.0,0.0,0.49295774647887325,1.0,0.0,0.49295774647887325,0.04401946042217354,0.052581826913887963,0.018403639419860784,1.0,0.01709819247679531,0.717659838362791,0.7678795599186825
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.11,0.08,0.36,0.055,0.55,0.7,0.35,35.0,0.0,0.5147058823529411,1.0,0.0,0.5147058823529411,0.040287499679348575,0.05277800842231734,0.01847230294781107,1.0,0.01709819247679531,0.6700174200499946,0.7511759362155167
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.11,0.08,0.36,0.055,0.55,0.7,0.35,25.0,0.0,0.352112676056338,1.0,0.0,0.352112676056338,0.03778867729156144,0.05237903076616711,0.018332660768158485,1.0,0.012212994626282364,0.6390224768978154,0.7355031045746729
real,golden,phi,0.5940339887498948,-0.024,0.16,0.007,0.025,0.08,0.36,0.025,0.18,0.44,0.75,0.0,4.0,0.05714285714285714,0.0,1.0,0.05714285714285714,0.022380605773092165,0.051832425269971505,0.03887431895247863,0.0,0.0,0.6256173760323323,0.40277347117529816
real,golden,phi,0.6060339887498948,-0.012,0.16,0.007,0.025,0.08,0.36,0.025,0.18,0.44,0.75,28.0,23.0,0.7083333333333334,0.5490196078431373,0.45098039215686275,0.7083333333333334,0.029555328646067823,0.055257115719817236,0.04144283678986293,0.5490196078431373,0.013678553981436248,0.45673184772400977,0.6923697899658952
