anchor,anchor_family,model,global_hotspot_offset,hotspot_stability,phase_lock_resistance,delayed_retention,pollution,witness_conversion,mean_alignment_latency,contact_ring_rate,rigidity_after_perturbation,composite_score,surrogate_gap
bounded_probe,bounded_anchor,two_light_contact_ring,0.011999999999999983,0.5833333333333334,0.6759864214675013,0.02583349917051439,0.5,0.016902736930297795,7.083333333333333,0.929931640625,0.930908203125,0.488978443214148,-0.047633247948522583
bounded_probe,bounded_anchor,two_light_no_ring,0.02099999999999998,0.0,0.6618598063815834,0.017241379310344827,0.08333333333333333,0.00909090909090909,8.333333333333334,0.487548828125,0.95220947265625,0.530010281408832,0.06812600490450338
bounded_probe,bounded_anchor,two_light_random_projection,0.011999999999999983,0.3333333333333333,0.9003288454622312,0.07504594093454943,0.8333333333333334,0.037232269002293504,5.555662393162393,0.4857177734375,0.9421793619791666,0.5006609531404843,0.0050564914314988885
bounded_probe,bounded_anchor,two_light_shuffled_time,0.0029999999999999853,0.0,0.8665334558494897,0.07955302085147045,1.0,0.03904471700469076,5.368742368742368,0.4843546549479167,0.94146728515625,0.45794882392516795,-0.0729502029721461
pi_mod1,constant_control,one_light_recurrence,-0.027000000000000007,0.5,0.499011850132262,0.6220700737242222,1.0,0.26716382986612147,3.353153128052885,0.2784423828125,0.6259765625,0.4953362298471098,-0.11474851812740477
pi_mod1,constant_control,two_light_plain,-0.036000000000000004,0.5833333333333334,0.7480250772772373,0.16384358138727245,1.0,0.08380891656808552,1.4444444444444444,0.488037109375,0.95257568359375,0.4383852100338445,-0.04736523227604611
pi_mod1,constant_control,two_light_contact_ring,0.01799999999999998,0.0,0.6290482140823163,0.0129753813430482,0.3333333333333333,0.007808372205365095,6.833333333333333,0.929931640625,0.93017578125,0.5010569336443401,-0.05112324272072161
pi_mod1,constant_control,two_light_no_ring,-0.036000000000000004,0.5833333333333334,0.7480250772772373,0.16384358138727245,1.0,0.08380891656808552,1.4444444444444444,0.488037109375,0.95257568359375,0.4383852100338445,-0.04667769449038245
pi_mod1,constant_control,two_light_random_projection,-1.3877787807814457e-17,0.3333333333333333,0.9074107274341229,0.09852473015735629,0.9166666666666666,0.0489192973525395,4.067824074074074,0.4867757161458333,0.9419962565104166,0.5185875166686239,-0.01916696074255919
pi_mod1,constant_control,two_light_shuffled_time,-1.3877787807814457e-17,0.25,0.8507766151729771,0.09165293973729682,0.9166666666666666,0.04382579968563539,4.7629629629629635,0.4877115885416667,0.9406331380208334,0.47565236390717075,-0.04487516007226233
fib_13_21,rational_control,one_light_recurrence,-0.01200000000000001,0.4166666666666667,0.46352247920499073,0.2185647101814989,0.75,0.04268853527972191,6.6162406629318395,0.2816162109375,0.62652587890625,0.35631836254581506,-0.22511631855865705
fib_13_21,rational_control,two_light_plain,0.02399999999999998,0.9166666666666666,0.7671702309142386,0.008620689655172414,0.08333333333333333,0.004777070063694267,8.333333333333334,0.4864501953125,0.9603271484375,0.5631870650590878,0.10356021032121637
fib_13_21,rational_control,two_light_contact_ring,-0.006000000000000012,0.5,0.7008007240743219,0.01278115621656263,0.25,0.008125605258451685,8.333333333333334,0.92919921875,0.929443359375,0.5420049851224283,0.0006167926927752032
fib_13_21,rational_control,two_light_no_ring,0.02399999999999998,0.9166666666666666,0.7671702309142386,0.008620689655172414,0.08333333333333333,0.004777070063694267,8.333333333333334,0.4864501953125,0.9603271484375,0.5631870650590878,0.08299567207485015
fib_13_21,rational_control,two_light_random_projection,0.0059999999999999845,0.5833333333333334,0.9027371605899396,0.09457059945510182,0.9166666666666666,0.046081772234879644,6.013888888888889,0.4908854166666667,0.94085693359375,0.49384402868904614,-0.0011363871694184402
fib_13_21,rational_control,two_light_shuffled_time,-0.009000000000000011,0.25,0.864818237826627,0.08820611880801447,0.8333333333333334,0.042720403762803026,5.5687500000000005,0.4853922526041667,0.9413655598958334,0.49047693945102394,0.00027272917831738797
