branch,anchor,alpha,offset,window_width,beta,score_a,score_b,score_c,score_d,score_e,score_f,write_count,witness_count,activity_rate,delayed_retention,witness_conversion_proxy,write_persistence,pollution,overload_rate,phase_lock_resistance,generic_score
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.17,0.24,0.1,0.18,0.44,37.0,2.0,0.01904296875,0.9487179487179487,0.0,0.0,0.0180752320468979,0.0,0.81133852442578,0.49264703954229155
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.025,0.17,0.24,0.1,0.18,0.44,36.0,4.0,0.01953125,0.9,0.0,0.0,0.017586712261846604,0.0,0.5245506219096452,0.4224082623391742
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.025,0.17,0.24,0.1,0.18,0.44,34.0,1.0,0.01708984375,0.9714285714285714,0.0,0.0,0.016609672691744015,0.0,0.6872238713811865,0.46665135400459296
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.025,0.17,0.24,0.1,0.18,0.44,33.0,0.0,0.01611328125,1.0,0.0,0.0,0.01612115290669272,0.0,0.49799341996889046,0.4284104617231205
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.025,0.17,0.24,0.1,0.18,0.44,35.0,2.0,0.01806640625,0.9459459459459459,0.0,0.0,0.01709819247679531,0.0,0.5901168875899752,0.44239221903550224
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.025,0.17,0.24,0.1,0.18,0.44,36.0,0.0,0.017578125,1.0,0.0,0.0,0.017586712261846604,0.0,0.6744086128337705,0.4689356140924818
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.17,0.52,0.055,0.32,0.44,19.0,17.0,0.017578125,0.5277777777777778,0.0,0.0,0.009281875915974597,0.0,0.6382881190819085,0.38609793681918636
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.17,0.52,0.055,0.32,0.44,23.0,19.0,0.0205078125,0.5476190476190477,0.0,0.0,0.011235955056179775,0.0,0.8531468615406038,0.4400472463784861
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.025,0.17,0.52,0.055,0.32,0.44,24.0,22.0,0.0224609375,0.5217391304347826,0.0,0.0,0.01172447484123107,0.0,0.5443172551640669,0.37036627089336144
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.025,0.17,0.52,0.055,0.32,0.44,21.0,18.0,0.01904296875,0.5384615384615384,0.0,0.0,0.010258915486077186,0.0,0.7404617524178927,0.41203842938439633
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.025,0.17,0.52,0.055,0.32,0.44,20.0,17.0,0.01806640625,0.5405405405405406,0.0,0.0,0.009770395701025891,0.0,0.8079788854010963,0.42604321743114565
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.025,0.17,0.52,0.055,0.32,0.44,21.0,20.0,0.02001953125,0.5121951219512195,0.0,0.0,0.010258915486077186,0.0,0.6452500052155332,0.38810992148322626
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.025,0.17,0.52,0.055,0.32,0.44,23.0,21.0,0.021484375,0.5227272727272727,0.0,0.0,0.011235955056179775,0.0,0.7537510096634207,0.41541817810782183
