flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,family_radius,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_family_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.08,0.04,0.12,0.36,2,0.912303664921466,0.47707049965776865,0.003952569169960474,0.17108977978543197,0.5545171339563862,0.22990654205607478,0.5545171339563862,0.15638629283489097,0.3333333333333333,0.4454828660436137,0.09703679583197655,0.48047398276953546,0.7360254674526605
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.14,0.08,0.04,0.36,2,0.8529411764705882,0.4603174603174603,0.003952569169960474,0.2490118577075099,0.5697290152015863,0.23793787177792466,0.5697290152015863,0.17713152676801058,0.33707865168539325,0.43027098479841375,0.08173233474438293,0.480813307846952,0.716700961469206
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.14,0.08,0.08,0.24,1,0.8724637681159421,0.46594427244582043,0.003952569169960474,0.26651609260304915,0.5948419301164726,0.2579034941763727,0.5948419301164726,0.3161397670549085,0.35856905158069885,0.4051580698835274,0.0778248127645718,0.49055073767009283,0.6782311860318044
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.14,0.12,0.08,0.24,1,0.8090909090909091,0.4472361809045226,0.003952569169960474,0.32185206098249575,0.6089334548769371,0.25888787602552416,0.6089334548769371,0.3226982680036463,0.35733819507748404,0.3910665451230629,0.06707912732009118,0.48845334323063605,0.6653946954823369
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.04,0.04,0.36,2,0.8916323731138546,0.4713560551124003,0.003952569169960474,0.21739130434782608,0.556415215989684,0.2379110251450677,0.556415215989684,0.18568665377176016,0.329464861379755,0.4435847840103159,0.090524259198958,0.47288013894586034,0.7219610824874054
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.08,0.12,0.24,2,0.8558282208588958,0.46115702479338844,0.003952569169960474,0.31281761716544326,0.5771857923497268,0.22336065573770492,0.5771857923497268,0.2827868852459016,0.3463114754098361,0.4228142076502732,0.08401172256593943,0.44531371950993315,0.671542888315931
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.12,0.04,0.36,2,0.7614814814814815,0.432296047098402,0.003952569169960474,0.3246753246753247,0.5597982708933718,0.207492795389049,0.5597982708933718,0.16786743515850144,0.3256484149855908,0.44020172910662825,0.07131227613155323,0.4566802824302526,0.6964583665326338
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.04,0.08,0.36,1,0.9121621621621622,0.47703180212014135,0.004517221908526256,0.19649915302089216,0.5595886267392619,0.2867513611615245,0.5595886267392619,0.17846339987900786,0.33998790078644886,0.44041137326073804,0.10159557147508955,0.4697617497680947,0.7314078298059801
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.04,0.12,0.24,2,0.9037356321839081,0.47471698113207544,0.004517221908526256,0.24731789949181254,0.5541327124563445,0.28346915017462165,0.5541327124563445,0.22235157159487776,0.33643771827706637,0.4458672875436554,0.09573428850537284,0.4767196305150818,0.7152201355029422
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.08,0.08,0.36,2,0.8226037195994278,0.4513343799058085,0.003952569169960474,0.2766798418972332,0.5592527729130181,0.26503210741389377,0.5592527729130181,0.15761821366024517,0.3391710449503795,0.4407472270869819,0.08303484207098664,0.47637821263011326,0.7188546191396764
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.12,0.12,0.24,1,0.7495934959349594,0.4284386617100372,0.004517221908526256,0.3879164313946923,0.5813464235624124,0.24333800841514727,0.5813464235624124,0.2643758765778401,0.3506311360448808,0.41865357643758766,0.05665906870726148,0.48695717573658026,0.6639625554814094
