anchor,anchor_family,window_size,phase,length,memory_capacity,perturbation,phase_lag,window_beta,delay_steps,noise_amp,alpha_cutoff_q,effective_offset,direct_best_offset,match_distance,derived_tradeoff,direct_best_tradeoff,tradeoff_gap_to_direct_best,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
silver,metallic_anchor,0.382,0.0,5000,50,window_drift_small,0.0,0.004,0,0.0,0,-0.003999999999999934,-0.011999999999999941,0.0,0.5902093195701067,0.6312929336316631,-0.04108361406155636,0.5902093195701067,0.5984342291505897,1.0,0.038759868195962215,0.5027395817518628,11.5,4677.0,322.0,1.0,0.9832117022713487,0.6189059378574566
silver,metallic_anchor,0.382,0.0,5000,50,window_drift_big,0.0,0.011,0,0.0,0,0.07200000000000013,-0.011999999999999941,0.463,0.6181040898802797,0.6312929336316631,-0.013188843751383406,0.6181040898802797,0.6277072971171218,1.0,0.05972450657894737,0.4047687844302709,11.0,4864.0,84.0,52.0,0.9812945489258211,0.3801638792138018
silver,metallic_anchor,0.382,0.0,5000,50,delay_3,0.0,0.0,3,0.0,0,0.0320000000000001,-0.011999999999999941,0.468,0.6029956610721201,0.6312929336316631,-0.028297272559542952,0.6029956610721201,0.648549040546754,0.8334905660377359,0.000812523901993727,0.3758943737557205,10.0,4286.0,713.0,1.0,0.9598649208579106,0.4494719731370401
silver,metallic_anchor,0.382,0.0,5000,50,delay_8,0.0,0.0,8,0.0,0,0.0320000000000001,-0.011999999999999941,0.4676,0.6113638429947015,0.6312929336316631,-0.019929090636961577,0.6113638429947015,0.6598350995483306,0.8327863406856232,0.0016057834454590257,0.3752809928170026,13.0,4285.0,715.0,0.0,0.9579838922959397,0.4489718038083204
silver,metallic_anchor,0.382,0.0,5000,50,noise_small,0.0,0.0,0,0.0015,0,6.938893903907228e-17,-0.011999999999999941,0.0012,0.6108761067881024,0.6312929336316631,-0.02041682684356061,0.6108761067881024,0.6480334871720339,0.8684738955823293,0.000812523901993727,0.3757488654309586,10.0,4286.0,713.0,1.0,0.9611611431558383,0.4475455002972773
silver,metallic_anchor,0.382,0.0,5000,50,noise_big,0.0,0.0,0,0.0045,0,6.938893903907228e-17,-0.011999999999999941,0.0044,0.6214851663234741,0.6312929336316631,-0.009807767308188997,0.6214851663234741,0.6474031668705219,0.9094594594594595,0.0007967210888140206,0.37450507322672816,10.5,4374.75,624.25,1.0,0.9611989157428382,0.4425084502719621
silver,metallic_anchor,0.382,0.0,5000,50,cutoff_34,0.0,0.0,0,0.0,34,6.938893903907228e-17,-0.011999999999999941,0.474,0.5118944206281233,0.6312929336316631,-0.11939851300353976,0.5118944206281233,0.5118944206281233,1.0,0.0008507018290089324,0.6068784946133956,7.0,4702.0,297.0,1.0,0.995849912990128,0.43166406546345465
silver,metallic_anchor,0.382,0.0,5000,50,cutoff_55,0.0,0.0,0,0.0,55,0.004000000000000073,-0.011999999999999941,0.1644,0.5585617969656009,0.6312929336316631,-0.07273113666606212,0.5585617969656009,0.5867684777795167,0.8980248634832113,0.021867388053166244,0.49876680499794945,11.0,4423.0,577.0,0.0,0.9824540395146196,0.722280004620617
silver,metallic_anchor,0.382,0.0,5000,50,combo_small,0.018,0.004,3,0.0015,34,-0.007999999999999938,-0.011999999999999941,0.4656,0.613162285285425,0.6312929336316631,-0.01813064834623801,0.613162285285425,0.6226464575704106,1.0,0.045745054505645796,0.44327162321941926,11.5,4753.5,245.5,1.0,0.9674821211613601,0.6508092083357407
silver,metallic_anchor,0.382,0.0,5000,50,combo_big,0.045,0.011,8,0.0045,55,-0.007999999999999938,-0.011999999999999941,0.463,0.6169462607163074,0.6312929336316631,-0.01434667291535563,0.6169462607163074,0.6250843379627017,1.0,0.0421532161529104,0.431500831006061,11.75,4769.75,229.25,1.0,0.9653563241739256,0.6654482398239219
