anchor,anchor_family,alpha,offset,window_size,phase,length,memory_capacity,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
golden,phi_anchor,0.5420339887498948,-0.076,0.2,0.0,5000,100,0.40805071744908683,0.5346286734696881,0.23644698753994714,0.0009058922117632876,0.3762301766960208,8.75,3950.0,681.0,369.0,0.959282079210108,0.39681815632476913
golden,phi_anchor,0.5460339887498948,-0.072,0.2,0.0,5000,100,0.3981859232496916,0.4231702548900792,0.10348583877995643,0.004938132157824166,0.33433756196067504,9.5,4416.5,389.5,194.0,0.956941182837953,0.27575976426811855
golden,phi_anchor,0.5500339887498948,-0.06799999999999999,0.2,0.0,5000,100,0.29441673438752997,0.29583320818782516,0.0035223379549322673,0.0007787668059784319,0.555480004459507,9.0,4492.5,506.5,1.0,0.9920639763671572,0.43064112488598355
golden,phi_anchor,0.5540339887498948,-0.06399999999999999,0.2,0.0,5000,100,0.4185205626120976,0.4262703534331568,0.23001403053836567,0.0005847813549547104,0.3733914218176568,8.5,4252.0,747.0,1.0,0.9723101300059189,0.30573820002681384
golden,phi_anchor,0.5580339887498948,-0.059999999999999984,0.2,0.0,5000,100,0.4564116152586839,0.49055851923516053,0.3279604498818657,0.0005997176309382249,0.3396630887475976,9.5,4150.0,849.0,1.0,0.9601734392333192,0.3271241341750168
golden,phi_anchor,0.5620339887498949,-0.05599999999999998,0.2,0.0,5000,100,0.4442733691750536,0.4995182757674633,0.3313725940351336,0.0005005327210058398,0.3749671512370467,9.75,4001.0,998.25,0.75,0.958022600039359,0.4253821776871045
golden,phi_anchor,0.5660339887498949,-0.05199999999999998,0.2,0.0,5000,100,0.4079859259359937,0.47010392228089504,0.20341242598502746,0.0005756578705045178,0.39270852292801306,9.25,3585.25,1414.25,0.5,0.9850673399385099,0.2840292973333031
golden,phi_anchor,0.5700339887498949,-0.04799999999999997,0.2,0.0,5000,100,0.39693090295892464,0.4620088801984465,0.11991114381239451,0.0012418148265827388,0.3608394274097927,8.5,3347.5,1652.25,0.25,0.9558222316476602,0.41071779700599853
golden,phi_anchor,0.5740339887498949,-0.04399999999999997,0.2,0.0,5000,100,0.3979890473821346,0.45694968123219654,0.19140986992372194,0.0011431150978564771,0.40688633940817215,9.75,3598.25,1401.75,0.0,0.9729451952227897,0.3596233449194743
golden,phi_anchor,0.5780339887498949,-0.039999999999999966,0.2,0.0,5000,100,0.45489384555039564,0.47846588935437495,0.30419907384639244,0.0009342211393215014,0.3287484978159152,9.5,3472.25,1527.75,0.0,0.9555331392850951,0.26702245326577223
golden,phi_anchor,0.5820339887498949,-0.03599999999999996,0.2,0.0,5000,100,0.5344331553524955,0.6118577454697248,0.6861119877584182,0.000887611803062257,0.3649040571202605,10.5,3938.5,1061.5,0.0,0.9598925427064284,0.43730506598294694
golden,phi_anchor,0.5860339887498949,-0.03199999999999996,0.2,0.0,5000,100,0.5706368764316514,0.6268914226139835,0.7758028332325067,0.0006607222893836134,0.32515596199238805,10.25,4140.5,858.0,1.5,0.9607222354256939,0.2542981144826423
golden,phi_anchor,0.5900339887498949,-0.027999999999999955,0.2,0.0,5000,100,0.6014767277958604,0.6091490538637462,1.0,0.035498571653507886,0.3718589759552753,11.0,4474.5,523.5,2.0,0.9558624570618878,0.3726144878002546
golden,phi_anchor,0.5940339887498949,-0.023999999999999952,0.2,0.0,5000,100,0.5947150261938549,0.6059765276643316,1.0,0.059515697534594986,0.37931321675532553,11.5,4720.75,278.25,1.0,0.9590755472984417,0.4005942022121106
golden,phi_anchor,0.5980339887498949,-0.01999999999999995,0.2,0.0,5000,100,0.6101199260136244,0.6101199260136244,1.0,0.03418803418803419,0.35113063630329694,12.0,4914.0,86.0,0.0,0.9711596030067178,0.2766965700992896
golden,phi_anchor,0.6020339887498949,-0.015999999999999945,0.2,0.0,5000,100,0.5929323383820735,0.5929323383820735,1.0,0.036326530612244896,0.39101024408013035,11.0,4900.0,100.0,0.0,0.9710982326970777,0.4299224579704132
golden,phi_anchor,0.6060339887498949,-0.011999999999999941,0.2,0.0,5000,100,0.5696303999028307,0.5782132949281598,1.0,0.040966092906233514,0.44524344049954423,10.0,4636.5,363.5,0.0,0.9854161543150878,0.3116637838926371
golden,phi_anchor,0.6100339887498949,-0.007999999999999938,0.2,0.0,5000,100,0.5937050466955944,0.6124463704060834,0.9378130217028381,0.006746806455671716,0.3589536276916808,9.0,4295.0,705.0,0.0,0.9557414067049762,0.3211141451027882
golden,phi_anchor,0.6140339887498949,-0.003999999999999934,0.2,0.0,5000,100,0.520625594261694,0.5858860432762574,0.7411919619237319,0.0009119814623366598,0.419511332507325,8.75,3835.0,1165.0,0.0,0.984827039989494,0.41258603348854916
golden,phi_anchor,0.6180339887498949,6.938893903907228e-17,0.2,0.0,5000,100,0.5025407435946506,0.6260162750895137,0.49730437423084983,0.0008754596867580962,0.3244645990021337,9.0,3732.75,1267.25,0.0,0.947609274432588,0.281828460722844
