anchor,anchor_family,band_mode,window_width,phase,beta,length,memory_capacity,hotspot_offset,hotspot_alpha,hotspot_score,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping,perturbation,phase_lag,delay_steps,noise_amp,beta_scale,zip_threshold_delta,zero_share,memory_load,write_count,witness_count,release_count,zipper_energy,approx_period,autocorr_peak,spectral_peak,composite_score
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.339073419910353,0.8701298701298701,0.08561643835616438,0.97509765625,beta_loosen,0.0,0,0.0,0.82,0.0,0.6552734375,0.484375,584.0,1462.0,2.0,0.19116565841873873,3.0,0.8101934172336832,0.17258632303525784,0.7340898449848348
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6306552485483179,0.8029197080291971,0.1317365269461078,0.98486328125,beta_tighten,0.0,0,0.0,1.18,0.0,0.669921875,0.546875,501.0,1543.0,4.0,0.1914558903184882,153.0,0.832853604529413,0.16510770244087494,0.7935033003813148
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6596306815619717,0.8536155202821869,0.10726643598615918,0.97119140625,zip_soft,0.0,0,0.0,1.0,-0.03,0.64599609375,0.46875,578.0,1466.0,4.0,0.19049566264056733,228.0,0.7737916031295524,0.17266337358418535,0.814028997257845
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6627342825985669,0.8442906574394463,0.09683426443202979,0.97265625,zip_hard,0.0,0,0.0,1.0,0.03,0.66748046875,0.515625,537.0,1507.0,4.0,0.19049566264056733,228.0,0.7738561968857395,0.1631578436933432,0.8167581915266598
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6359046500600505,0.8274647887323944,0.12307692307692308,0.96923828125,combo_small,0.012,3,0.0014,1.08,0.015,0.66748046875,0.53125,520.0,1524.0,4.0,0.18946257368901503,253.0,0.8471517090887167,0.1774760452903488,0.7992755604472042
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6337120960968832,0.8114602587800369,0.13238289205702647,0.9853515625,combo_big,0.028,7,0.0036,1.18,0.03,0.677734375,0.53125,491.0,1553.0,4.0,0.1924854319952627,153.0,0.8256947641255975,0.16334433172157728,0.7970023331029308
golden,phi_anchor,counter_double,0.24,0.0,0.029,2048,64,0.01799999999999998,0.6360339887498948,0.831846056688181,0.6734620842207466,0.8281786941580757,0.01717557251908397,0.97265625,phase_small,0.01,0,0.0,1.0,0.0,0.65625,0.5,524.0,1520.0,4.0,0.19008431750502014,224.0,0.7102272727272727,0.19735581201650254,0.8309284056759305
golden,phi_anchor,counter_double,0.24,0.0,0.029,2048,64,0.01799999999999998,0.6360339887498948,0.831846056688181,0.675984922295386,0.8138686131386861,0.02127659574468085,0.97265625,phase_big,0.028,0,0.0,1.0,0.0,0.6552734375,0.5,517.0,1516.0,15.0,0.19003576087262192,224.0,0.7039831241972904,0.19629577902933346,0.8273020512470565
golden,phi_anchor,counter_double,0.24,0.0,0.029,2048,64,0.01799999999999998,0.6360339887498948,0.831846056688181,0.6740574620527904,0.8291814946619217,0.019083969465648856,0.97265625,delay_3,0.0,3,0.0,1.0,0.0,0.65380859375,0.515625,524.0,1511.0,13.0,0.1907729109965094,206.0,0.7052274099966864,0.19466149222924412,0.8307587917005128
golden,phi_anchor,counter_double,0.24,0.0,0.029,2048,64,0.01799999999999998,0.6360339887498948,0.831846056688181,0.6736530807578225,0.828996282527881,0.02734375,0.97314453125,delay_7,0.0,7,0.0,1.0,0.0,0.6572265625,0.46875,512.0,1521.0,15.0,0.18982349953406324,224.0,0.7108637864041372,0.19658686323968866,0.8293202516688819
