flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,layer_match_threshold,basin_radius,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_region_recall_rate,same_layer_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.14,21,0.72,0.08,0.3,2,0.24,0.9238329238329238,0.48020434227330777,0.003952569169960474,0.11180124223602485,0.20538922155688621,0.06946107784431138,0.20538922155688621,0.0005988023952095808,0.11197604790419162,0.0,0.7946107784431138,0.10289807880169326,0.48258475393812506,0.5869470315121952
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.14,21,0.72,0.14,0.18,2,0.36,0.9300361881785284,0.481875,0.003952569169960474,0.09260304912478826,0.23397823458282951,0.09008464328899637,0.23397823458282951,0.02418379685610641,0.06408706166868199,0.0,0.7660217654171705,0.10257245197004233,0.479167838310381,0.6242476707323064
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.2,8,0.72,0.08,0.42,2,0.24,0.9480048367593712,0.4866542520173805,0.003952569169960474,0.08639186900056466,0.11694510739856802,0.06264916467780429,0.11694510739856802,0.0,0.08293556085918855,0.0,0.883054892601432,0.10680560078150439,0.4754612250100534,0.5578437223868499
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.2,8,0.72,0.14,0.3,2,0.24,0.9312796208530806,0.4822085889570552,0.003952569169960474,0.0756634669678148,0.07940298507462687,0.04597014925373134,0.07940298507462687,0.0023880597014925373,0.056716417910447764,0.0,0.9205970149253732,0.10680560078150439,0.4682350898776968,0.5444511950408928
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.2,13,0.55,0.14,0.3,2,0.24,0.9321839080459771,0.4824509220701963,0.003952569169960474,0.04686617730095991,0.038782816229116945,0.030429594272076373,0.038782816229116945,0.011933174224343675,0.03341288782816229,0.0,0.961217183770883,0.10875936177140996,0.46105264202543106,0.5335971356718766
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.2,21,0.55,0.08,0.18,2,0.36,0.9549878345498783,0.4884878655880523,0.003952569169960474,0.08865047995482778,0.22845087402049427,0.08257986738999397,0.22845087402049427,0.024110910186859555,0.07112718505123568,0.0,0.7715491259795058,0.10322370563334418,0.4540805346082486,0.619358635280223
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.14,8,0.55,0.08,0.18,2,0.36,0.943030303030303,0.48533998752339363,0.003952569169960474,0.09090909090909091,0.217787913340935,0.11630558722919042,0.217787913340935,0.023375142531356898,0.06100342075256556,0.0,0.7822120866590649,0.1045262129599479,0.47789905077364414,0.6217380917139907
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.14,13,0.55,0.14,0.42,2,0.36,0.945823927765237,0.48607888631090485,0.003952569169960474,0.02258610954263128,0.014797951052931132,0.011383039271485486,0.014797951052931132,0.0,0.005122367672168469,0.0,0.9852020489470689,0.11396939107782482,0.45631923906535343,0.52953978607031
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.2,8,0.72,0.08,0.18,2,0.36,0.9446589446589446,0.485771012574454,0.003952569169960474,0.14285714285714285,0.346636259977195,0.18358038768529075,0.346636259977195,0.02451539338654504,0.1168757126567845,0.0,0.6533637400228051,0.10126994464343862,0.4544706497838179,0.665674721826178
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.2,13,0.72,0.14,0.18,2,0.36,0.9047029702970297,0.47498375568551005,0.003952569169960474,0.12704686617730096,0.20387243735763097,0.10250569476082004,0.20387243735763097,0.0193621867881549,0.07232346241457858,0.0,0.7961275626423691,0.09801367632692934,0.451691534904349,0.5986306404646201
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.2,21,0.55,0.14,0.42,2,0.36,0.9533560864618885,0.48806057076295867,0.003952569169960474,0.026538678712591756,0.014228799089356859,0.010244735344336939,0.014228799089356859,0.0,0.006260671599317018,0.0,0.9857712009106432,0.11820253988928688,0.4555334337434095,0.5298165561431566
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,8,0.55,0.08,0.18,2,0.36,0.9532374100719424,0.4880294659300184,0.003952569169960474,0.07622811970638058,0.22952779438135087,0.08427973699940228,0.22952779438135087,0.02749551703526599,0.06455469216975493,0.0,0.7704722056186492,0.10550309345490068,0.477792202694168,0.626200322892414
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,21,0.55,0.14,0.18,2,0.36,0.9094117647058824,0.4762784966112138,0.003952569169960474,0.07961603613777526,0.15767131594906003,0.0861127956337174,0.15767131594906003,0.02971497877501516,0.05579138872043663,0.0,0.84232868405094,0.09899055682188213,0.47430798103039884,0.5881931687949135
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,8,0.72,0.08,0.42,2,0.36,0.9488703923900119,0.48688224527150703,0.003952569169960474,0.07058159232072275,0.14157706093189965,0.07108721624850657,0.14157706093189965,0.0,0.05794504181600956,0.0,0.8584229390681004,0.11103874959296646,0.4731047792432731,0.5785621238769473
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,8,0.72,0.08,0.18,2,0.36,0.9355231143552312,0.4833438089252043,0.003952569169960474,0.09768492377188029,0.3164196123147092,0.17787913340935005,0.3164196123147092,0.03477765108323831,0.08038768529076397,0.0,0.6835803876852907,0.10420058612829697,0.4732960478776448,0.6673925480613656
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,21,0.55,0.14,0.42,2,0.24,0.9556818181818182,0.4886693782684486,0.003952569169960474,0.024280067758328628,0.010250569476082005,0.00968109339407745,0.010250569476082005,0.0,0.00968109339407745,0.0,0.989749430523918,0.11429501790947574,0.45767505109548823,0.5275288925190126
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.08,21,0.55,0.14,0.3,2,0.36,0.7805429864253394,0.4383735705209657,0.06951871657754011,0.08877005347593583,0.2767527675276753,0.07564575645756458,0.2767527675276753,0.033210332103321034,0.03874538745387454,0.0,0.7232472324723247,0.04395962227287528,0.5908733359875027,0.6445695115291704
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.14,8,0.72,0.14,0.3,2,0.24,0.7615740740740741,0.4323258869908016,0.06951871657754011,0.11657754010695187,0.2771317829457364,0.06589147286821706,0.2771317829457364,0.003875968992248062,0.09108527131782945,0.0,0.7228682170542635,0.041028980788016936,0.5946828202329117,0.6167574478804481
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.2,8,0.72,0.14,0.3,2,0.24,0.8009367681498829,0.4447334200260078,0.06417112299465241,0.11336898395721925,0.2555970149253731,0.08022388059701492,0.2555970149253731,0.005597014925373134,0.08768656716417911,0.0,0.7444029850746269,0.04916965157929013,0.5926807178909157,0.615830131053091
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.2,13,0.72,0.08,0.42,2,0.36,0.7913832199546486,0.4417721518987342,0.06524064171122995,0.08983957219251337,0.3194192377495463,0.08892921960072596,0.3194192377495463,0.0,0.05263157894736842,0.0,0.6805807622504537,0.04233148811462065,0.5891428526641944,0.655436445661884
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.08,8,0.55,0.08,0.18,2,0.24,0.7961165048543689,0.44324324324324327,0.07379679144385026,0.13475935828877006,0.3641379310344828,0.13379310344827586,0.3641379310344828,0.03310344827586207,0.11310344827586206,0.0,0.6358620689655172,0.03972647346141322,0.5978697414367935,0.6685843639818733
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.08,8,0.55,0.14,0.18,2,0.36,0.75,0.42857142857142855,0.07272727272727272,0.12620320855614972,0.25105189340813466,0.091164095371669,0.25105189340813466,0.04067321178120617,0.04628330995792426,0.0,0.7489481065918654,0.041028980788016936,0.5929460970823592,0.6272640342949556
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,8,0.55,0.14,0.3,2,0.36,0.7609195402298851,0.4321148825065274,0.06203208556149733,0.11871657754010695,0.1791044776119403,0.07598371777476255,0.1791044776119403,0.0203527815468114,0.017639077340569877,0.0,0.8208955223880597,0.04265711494627157,0.5933917108405493,0.5993040747662821
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.2,13,0.55,0.08,0.3,2,0.36,0.8031674208144797,0.4454203262233375,0.06417112299465241,0.08342245989304813,0.2955390334572491,0.08364312267657993,0.2955390334572491,0.03345724907063197,0.055762081784386616,0.0,0.7044609665427509,0.046890263757733634,0.5895573507001417,0.6522321392397283
silver,metallic,0.43821356237309517,21,13,0.04,0.68,21,0.08,21,0.72,0.08,0.42,2,0.36,0.8171557562076749,0.4496894409937888,0.06951871657754011,0.06951871657754011,0.18407310704960836,0.0835509138381201,0.18407310704960836,0.0,0.028720626631853787,0.0,0.8159268929503917,0.045587756431129924,0.5927483370128457,0.604611590257498
silver,metallic,0.43821356237309517,21,13,0.04,0.68,21,0.14,21,0.55,0.08,0.42,2,0.36,0.7964601769911505,0.4433497536945813,0.057754010695187166,0.07379679144385026,0.17733333333333334,0.07466666666666667,0.17733333333333334,0.0,0.030666666666666665,0.0,0.8226666666666667,0.04428524910452621,0.5916665234593812,0.5962783695570548
silver,metallic,0.43821356237309517,21,13,0.04,0.68,21,0.14,21,0.55,0.14,0.18,2,0.36,0.7708333333333334,0.43529411764705883,0.059893048128342244,0.12192513368983957,0.2106703146374829,0.07934336525307797,0.2106703146374829,0.03146374829001368,0.03556771545827633,0.0,0.7893296853625171,0.04233148811462065,0.5948489580053762,0.6127451422266788
silver,metallic,0.43821356237309517,21,13,0.04,0.68,21,0.2,13,0.72,0.08,0.42,2,0.24,0.8036951501154734,0.44558258642765686,0.06096256684491978,0.10374331550802139,0.18046132971506107,0.07191316146540028,0.18046132971506107,0.0,0.06648575305291723,0.0,0.819538670284939,0.045587756431129924,0.5920846906012673,0.5862555850188736
silver,metallic,0.43821356237309517,21,13,0.04,0.68,21,0.2,21,0.72,0.14,0.18,2,0.24,0.7382075471698113,0.42469470827679784,0.058823529411764705,0.15294117647058825,0.22625698324022347,0.07541899441340782,0.22625698324022347,0.02653631284916201,0.0824022346368715,0.0,0.7737430167597765,0.04135460761966786,0.5946165282679143,0.5967683164228847
silver,metallic,0.43821356237309517,21,13,0.04,0.78,13,0.08,13,0.55,0.08,0.3,2,0.36,0.821826280623608,0.4511002444987775,0.07379679144385026,0.051336898395721926,0.19109461966604824,0.06679035250463822,0.19109461966604824,0.025974025974025976,0.04452690166975881,0.0,0.8089053803339518,0.05014653207424292,0.588946772632837,0.6075013923754057
silver,metallic,0.43821356237309517,21,13,0.04,0.78,13,0.08,21,0.72,0.08,0.42,2,0.36,0.8060344827586207,0.44630071599045346,0.06310160427807486,0.040641711229946524,0.15682656826568267,0.055350553505535055,0.15682656826568267,0.0,0.033210332103321034,0.0,0.8431734317343174,0.04916965157929013,0.5881444486886738,0.5858933008026559
silver,metallic,0.43821356237309517,21,13,0.04,0.78,13,0.14,8,0.55,0.14,0.18,2,0.36,0.8098434004474273,0.44746600741656367,0.06417112299465241,0.07058823529411765,0.1871559633027523,0.05688073394495413,0.1871559633027523,0.027522935779816515,0.03853211009174312,0.0,0.8128440366972477,0.04363399544122436,0.5914514973155285,0.6051295851757771
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.08,8,0.55,0.08,0.18,2,0.36,0.8157303370786517,0.44925742574257427,0.06951871657754011,0.06631016042780749,0.1954177897574124,0.0660377358490566,0.1954177897574124,0.01752021563342318,0.04043126684636118,0.0,0.8045822102425876,0.046890263757733634,0.5933552497210433,0.6082867159151216
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.08,13,0.55,0.08,0.42,2,0.24,0.8251121076233184,0.4520884520884521,0.07058823529411765,0.058823529411764705,0.10935441370223979,0.0461133069828722,0.10935441370223979,0.0,0.04479578392621871,0.0,0.8906455862977603,0.04949527841094106,0.4499403013468277,0.5424619747269279
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.08,13,0.72,0.08,0.42,2,0.24,0.8288288288288288,0.45320197044334976,0.06951871657754011,0.06203208556149733,0.12133333333333333,0.050666666666666665,0.12133333333333333,0.0,0.048,0.0,0.8786666666666667,0.0475415174210355,0.4542669298721138,0.5486070701865505
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.08,21,0.55,0.14,0.3,2,0.36,0.8210290827740492,0.45085995085995084,0.06844919786096257,0.06096256684491978,0.10092961487383798,0.043824701195219126,0.10092961487383798,0.01859229747675963,0.02257636122177955,0.0,0.899070385126162,0.04916965157929013,0.5902948459001947,0.568718570902286
silver,metallic,0.43821356237309517,21,13,0.04,0.78,21,0.2,21,0.72,0.14,0.18,2,0.24,0.7870370370370371,0.44041450777202074,0.06417112299465241,0.11016042780748662,0.14617486338797814,0.05327868852459016,0.14617486338797814,0.01366120218579235,0.060109289617486336,0.0,0.8538251366120219,0.040377727124715074,0.5906210054470808,0.5705445560289895
