anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_alignment_age,memory_capacity,write_count,witness_expired,release_count,delayed_retention,witness_conversion,pollution,mean_alignment_latency,return_interval_diversity,phase_lock_resistance,contact_ring_rate,center_share,rigidity_after_perturbation,composite_score,surrogate_base_score
golden,phi_anchor,single_light_sphere,Single Light,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,13,34,48.0,123.0,3877.0,0.2807017543859649,0.060225846925972396,1.0,5.104166666666667,0.1399113183481203,0.39894821395265423,0.2734375,0.11474609375,0.66845703125,0.3253597307534597,0.22507953641864764
golden,phi_anchor,single_light_sphere,Single Light,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,13,34,246.0,0.0,3603.0,1.0,0.30904522613065327,1.0,9.898373983739837,0.2665500224587914,0.5287240760000205,0.273681640625,0.115478515625,0.67138671875,0.6286020631644037,0.5153943265435246
golden,phi_anchor,single_light_sphere,Single Light,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,13,34,220.0,8.0,3648.0,0.9649122807017544,0.2770780856423174,1.0,8.840909090909092,0.2115323555253866,0.5641893273629439,0.27392578125,0.11474609375,0.6689453125,0.619413819618048,0.5118738653155094
golden,phi_anchor,single_light_sphere,Single Light,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.0,4096,13,34,82.0,95.0,3836.0,0.4632768361581921,0.10275689223057644,1.0,4.426829268292683,0.35460228013353234,0.5105568120936712,0.27392578125,0.115966796875,0.66796875,0.44357189260099905,0.32180307083764575
golden,phi_anchor,single_light_sphere,Single Light,0.6300339887498948,0.011999999999999983,0.18,0.0,0.0,4096,13,34,94.0,71.0,3837.0,0.5696969696969697,0.11809045226130653,1.0,9.75531914893617,0.1515184668578737,0.543467313738651,0.274169921875,0.115234375,0.668212890625,0.46705958815411547,0.36555031959332807
golden,phi_anchor,single_light_sphere,Single Light,0.6360339887498948,0.01799999999999998,0.18,0.0,0.0,4096,13,34,318.0,29.0,3430.0,0.9164265129682997,0.3989962358845671,1.0,6.1069182389937104,0.4121292075892125,0.22859283414235476,0.27392578125,0.114990234375,0.668212890625,0.5336813554576678,0.4061403096987466
golden,phi_anchor,single_light_sphere,Single Light,0.6420339887498948,0.02399999999999998,0.18,0.0,0.0,4096,13,34,239.0,0.0,3618.0,1.0,0.2998745294855709,1.0,10.874476987447698,0.08542266759593206,0.5410800632951951,0.2734375,0.115478515625,0.6689453125,0.6128150285873624,0.5179446368277691
golden,phi_anchor,single_light_sphere,Single Light,0.6480339887498948,0.029999999999999978,0.18,0.0,0.0,4096,13,34,29.0,200.0,3837.0,0.12663755458515283,0.0364321608040201,1.0,10.724137931034482,0.13611582306458553,0.5651076742139849,0.2744140625,0.114990234375,0.6689453125,0.33420980826777985,0.2341529134613213
golden,phi_anchor,single_light_sphere,Single Light,0.6540339887498947,0.035999999999999976,0.18,0.0,0.0,4096,13,34,155.0,155.0,3631.0,0.5,0.19472361809045227,1.0,4.567741935483871,0.32805477706116165,0.5247720044398965,0.27392578125,0.115234375,0.66943359375,0.4727039917219624,0.35347273276584623
golden,phi_anchor,single_light_sphere,Single Light,0.6600339887498947,0.041999999999999975,0.18,0.0,0.0,4096,13,34,82.0,81.0,3851.0,0.5030674846625767,0.10301507537688442,1.0,8.670731707317072,0.10815194613078669,0.4595893036272144,0.27392578125,0.115234375,0.67041015625,0.4129810733696923,0.3156619725066136
golden,phi_anchor,single_light_sphere,Single Light,0.6660339887498947,0.04799999999999997,0.18,0.0,0.0,4096,13,34,2.0,95.0,3996.0,0.020618556701030927,0.00245398773006135,1.0,3.0,0.0,0.20909983543645616,0.2734375,0.116943359375,0.666259765625,0.1634221389660948,0.0773088577160948
golden,phi_anchor,single_light_sphere,Single Light,0.5700339887498947,-0.048,0.18,0.0,0.0,4096,21,34,32.0,47.0,3984.0,0.4050632911392405,0.04025157232704402,1.0,21.0,0.0,0.5333467979194157,0.273681640625,0.114501953125,0.668701171875,0.3883388064554566,0.30200091583045663
golden,phi_anchor,single_light_sphere,Single Light,0.5760339887498948,-0.042,0.18,0.0,0.0,4096,21,34,132.0,0.0,3831.0,1.0,0.1658291457286432,1.0,14.863636363636363,0.17208006593576292,0.5657256235098194,0.273681640625,0.115234375,0.669677734375,0.6058199804430707,0.5021959582244945
golden,phi_anchor,single_light_sphere,Single Light,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.0,4096,21,34,304.0,0.0,3487.0,1.0,0.38143036386449186,1.0,7.269736842105263,0.2902918597393928,0.5286513927233423,0.273681640625,0.115478515625,0.667724609375,0.6436878906204843,0.5283989390215449
golden,phi_anchor,single_light_sphere,Single Light,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.0,4096,21,34,245.0,0.0,3605.0,1.0,0.30778894472361806,1.0,10.020408163265307,0.2554202102651965,0.25607255013646213,0.2734375,0.115234375,0.66845703125,0.5342977606231681,0.4224666770966484
golden,phi_anchor,single_light_sphere,Single Light,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.0,4096,21,34,43.0,79.0,3930.0,0.3524590163934426,0.05402010050251256,1.0,16.837209302325583,0.06265909514663076,0.5046227372986947,0.274169921875,0.115234375,0.668212890625,0.3726072047518355,0.2799838733621724
golden,phi_anchor,single_light_sphere,Single Light,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.0,4096,21,34,1.0,67.0,4027.0,0.014705882352941176,0.0012453300124533001,1.0,20.0,0.0,0.20433246334639088,0.27392578125,0.082763671875,0.66552734375,0.15992812524883804,0.07381484399883803
golden,phi_anchor,single_light_sphere,Single Light,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,21,34,77.0,47.0,3895.0,0.6209677419354839,0.09661229611041405,1.0,17.896103896103895,0.05061130848530748,0.39894821395265423,0.2734375,0.11474609375,0.66845703125,0.4182537671342432,0.32690357378571244
golden,phi_anchor,single_light_sphere,Single Light,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,21,34,246.0,0.0,3603.0,1.0,0.30904522613065327,1.0,9.898373983739837,0.2665500224587914,0.5287240760000205,0.273681640625,0.115478515625,0.67138671875,0.6286020631644037,0.5153943265435246
golden,phi_anchor,single_light_sphere,Single Light,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,21,34,228.0,0.0,3640.0,1.0,0.2871536523929471,1.0,9.092105263157896,0.2486241700333897,0.5641893273629439,0.27392578125,0.11474609375,0.6689453125,0.6347611644874703,0.5235120287341314
golden,phi_anchor,single_light_sphere,Single Light,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.0,4096,21,34,82.0,63.0,3868.0,0.5655172413793104,0.10275689223057644,1.0,4.426829268292683,0.35460228013353234,0.5105568120936712,0.27392578125,0.115966796875,0.66796875,0.4721992060629121,0.35043038429955886
golden,phi_anchor,single_light_sphere,Single Light,0.6300339887498948,0.011999999999999983,0.18,0.0,0.0,4096,21,34,165.0,0.0,3766.0,1.0,0.20728643216080403,1.0,12.442424242424243,0.26417549147261177,0.543467313738651,0.274169921875,0.115234375,0.668212890625,0.6148654154823472,0.5020904444600861
golden,phi_anchor,single_light_sphere,Single Light,0.6360339887498948,0.01799999999999998,0.18,0.0,0.0,4096,21,34,319.0,21.0,3436.0,0.9382352941176471,0.4002509410288582,1.0,6.131661442006269,0.4142845955876408,0.22859283414235476,0.27392578125,0.114990234375,0.668212890625,0.5402291999053003,0.41247261534653623
golden,phi_anchor,single_light_sphere,Single Light,0.6420339887498948,0.02399999999999998,0.18,0.0,0.0,4096,21,34,239.0,0.0,3618.0,1.0,0.2998745294855709,1.0,10.874476987447698,0.08542266759593206,0.5410800632951951,0.2734375,0.115478515625,0.6689453125,0.6128150285873624,0.5179446368277691
golden,phi_anchor,single_light_sphere,Single Light,0.6480339887498948,0.029999999999999978,0.18,0.0,0.0,4096,21,34,229.0,0.0,3637.0,1.0,0.2876884422110553,1.0,13.585152838427948,0.08884314603998694,0.5651076742139849,0.2744140625,0.114990234375,0.6689453125,0.6192501559347436,0.5239205288307449
golden,phi_anchor,single_light_sphere,Single Light,0.6540339887498947,0.035999999999999976,0.18,0.0,0.0,4096,21,34,150.0,5.0,3790.0,0.967741935483871,0.1884422110552764,1.0,19.906666666666666,0.05723100422360588,0.5247720044398965,0.27392578125,0.115234375,0.66943359375,0.575458703107359,0.48330982143499845
golden,phi_anchor,single_light_sphere,Single Light,0.6600339887498947,0.041999999999999975,0.18,0.0,0.0,4096,21,34,82.0,81.0,3851.0,0.5030674846625767,0.10301507537688442,1.0,8.670731707317072,0.10815194613078669,0.4595893036272144,0.27392578125,0.115234375,0.67041015625,0.4129810733696923,0.3156619725066136
golden,phi_anchor,single_light_sphere,Single Light,0.6660339887498947,0.04799999999999997,0.18,0.0,0.0,4096,21,34,8.0,55.0,4024.0,0.12698412698412698,0.0098159509202454,1.0,18.75,0.06928203229906005,0.20909983543645616,0.2734375,0.116943359375,0.666259765625,0.20145785524950083,0.10841637076959482
