model,flow,family,alpha,offset,window_width,beta,pocket_gain,pocket_decay,stability_gain,stability_threshold,write_threshold,release_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,stability_success,delayed_retention,release_rate,overload_rate,mean_contact_quality,pollution,phase_lock_resistance,composite_score
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.24,0.98,0.1,0.35,0.45,0.08,1.45,88.0,89.0,0.0,0.0,0.9887640449438202,0.0,0.4971751412429379,0.0,0.0,0.3520572795657192,0.028655161185281667,0.6335818857835032,0.5962296589934786
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.24,0.98,0.1,0.35,0.45,0.08,1.45,86.0,88.0,1.0,0.0,0.9772727272727273,0.0,0.4942528735632184,0.005714285714285714,0.0,0.3479549365924406,0.02800390752197981,0.7996591778401244,0.6232499835590696
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.24,0.98,0.1,0.35,0.45,0.08,1.45,89.0,90.0,0.0,0.0,0.9888888888888889,0.0,0.4972067039106145,0.0,0.0,0.34418683698619107,0.028980788016932595,0.7321791460175564,0.6132478553473488
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.24,0.98,0.1,0.35,0.62,0.14,1.1,41.0,44.0,2.0,0.0,0.9318181818181818,0.0,0.4823529411764706,0.022988505747126436,0.0,0.3629206026059051,0.013350700097688049,0.7595030557041872,0.6089376269025495
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.24,0.98,0.1,0.35,0.62,0.14,1.1,45.0,54.0,8.0,0.0,0.8333333333333334,0.0,0.45454545454545453,0.07476635514018691,0.0,0.3606356819055242,0.014653207424291761,0.73141897378561,0.5810251991384625
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.24,0.98,0.1,0.35,0.62,0.14,1.1,46.0,47.0,0.0,0.0,0.9787234042553191,0.0,0.4946236559139785,0.0,0.0,0.35760195906228986,0.014978834255942689,0.7242535371985597,0.6124372259188042
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.24,0.98,0.1,0.35,0.62,0.14,1.1,37.0,51.0,13.0,0.0,0.7254901960784313,0.0,0.42045454545454547,0.12871287128712872,0.0,0.3774309366291299,0.012048192771084338,0.6987981230975899,0.5518876483645023
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.24,0.98,0.1,0.35,0.62,0.14,1.1,52.0,54.0,1.0,0.0,0.9629629629629629,0.0,0.49056603773584906,0.009345794392523364,0.0,0.3520572795657192,0.016932595245848257,0.7097613290193638,0.6055273870072503
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.24,0.98,0.1,0.35,0.62,0.14,1.1,47.0,54.0,6.0,0.0,0.8703703703703703,0.0,0.46534653465346537,0.056074766355140186,0.0,0.3479549365924406,0.015304461087593618,0.8477467410546455,0.6092173376082393
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.24,0.98,0.1,0.35,0.62,0.14,1.1,54.0,55.0,0.0,0.0,0.9818181818181818,0.0,0.4954128440366973,0.0,0.0,0.34418683698619107,0.017583848909150115,0.7058988024669095,0.60825669530661
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.24,0.98,0.18,0.35,0.62,0.14,1.45,41.0,44.0,2.0,0.0,0.9318181818181818,0.0,0.4823529411764706,0.022988505747126436,0.0,0.3629206026059051,0.013350700097688049,0.7595030557041872,0.6089376269025495
