anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,phase_lock_resistance,delayed_retention,pollution,symmetry_balance,rigidity_after_zipping,center_share,closure_balance,composite_score,surrogate_base_score
golden,phi_anchor,binary_baseline,Binary Window,0.6720339887498947,0.05399999999999997,0.18,0.13,0.0,4096,0.529442908890337,0.0,1.0,0.3913043478260869,0.964111328125,0.0791015625,0.0,0.3516551382921011,0.2117771635561348
golden,phi_anchor,binary_baseline,Binary Window,0.6780339887498947,0.05999999999999997,0.18,0.13,0.0,4096,0.497290124914891,0.0,0.9986449864498645,0.3913043478260869,0.964599609375,0.0791015625,0.0,0.3424050623304971,0.19925480335349027
golden,phi_anchor,binary_baseline,Binary Window,0.5580339887498948,-0.06,0.18,0.13,0.011,4096,0.5113447994102625,0.0,1.0,0.39120063609859523,0.963623046875,0.078857421875,0.0,0.3461280491980787,0.204537919764105
golden,phi_anchor,binary_baseline,Binary Window,0.5640339887498947,-0.054,0.18,0.13,0.011,4096,0.4824110804801902,0.0,1.0,0.3908777512596129,0.9638671875,0.079345703125,0.0,0.33749676164405706,0.1929644321920761
golden,phi_anchor,binary_baseline,Binary Window,0.5700339887498947,-0.048,0.18,0.13,0.011,4096,0.47443352750451384,0.0,1.0,0.3905670376258612,0.96435546875,0.07861328125,0.0,0.33520115200135414,0.18977341100180556
golden,phi_anchor,binary_baseline,Binary Window,0.5760339887498948,-0.042,0.18,0.13,0.011,4096,0.5408426683938787,0.0,1.0,0.3907741251325557,0.964599609375,0.0791015625,0.0,0.35517272239316366,0.2163370673575515
golden,phi_anchor,binary_baseline,Binary Window,0.5820339887498948,-0.036000000000000004,0.18,0.13,0.011,4096,0.15991829055320306,0.0,1.0,0.3920424403183024,0.963623046875,0.07958984375,0.0,0.24070009654096094,0.06396731622128123
golden,phi_anchor,binary_baseline,Binary Window,0.5880339887498948,-0.030000000000000006,0.18,0.13,0.011,4096,0.3447002302016632,0.0,1.0,0.3903473879607531,0.96435546875,0.079345703125,0.0,0.29628116281049893,0.1378800920806653
golden,phi_anchor,binary_baseline,Binary Window,0.5940339887498948,-0.024000000000000007,0.18,0.13,0.011,4096,0.1672210228876142,0.0,0.9986431478968792,0.3908777512596129,0.962646484375,0.079345703125,0.0,0.24299411120397083,0.06722762218082587
golden,phi_anchor,binary_baseline,Binary Window,0.6000339887498948,-0.01800000000000001,0.18,0.13,0.011,4096,0.4640543732791327,0.0,1.0,0.3916269210386858,0.964111328125,0.07861328125,0.0,0.3320385776087398,0.1856217493116531
golden,phi_anchor,binary_baseline,Binary Window,0.6060339887498948,-0.01200000000000001,0.18,0.13,0.011,4096,0.48637625804594176,0.0,1.0,0.3902439024390244,0.961181640625,0.0791015625,0.0,0.3381492055387826,0.19455050321837672
golden,phi_anchor,binary_baseline,Binary Window,0.6120339887498948,-0.006000000000000012,0.18,0.13,0.011,4096,0.47961049587589244,0.0,1.0,0.3911889596602972,0.963623046875,0.080078125,0.0,0.3366077581377678,0.191844198350357
golden,phi_anchor,binary_baseline,Binary Window,0.6180339887498948,-1.3877787807814457e-17,0.18,0.13,0.011,4096,0.36170048595878235,0.0,1.0,0.3908777512596129,0.965087890625,0.079345703125,0.0,0.3015277239126347,0.14468019438351296
golden,phi_anchor,binary_baseline,Binary Window,0.6240339887498948,0.0059999999999999845,0.18,0.13,0.011,4096,0.46999174249461506,0.0,1.0,0.3909814323607427,0.96484375,0.07958984375,0.0,0.33396627274838453,0.18799669699784605
golden,phi_anchor,binary_baseline,Binary Window,0.6300339887498948,0.011999999999999983,0.18,0.13,0.011,4096,0.2871891365367666,0.0,1.0,0.3950026581605529,0.969482421875,0.08154296875,0.0,0.28005322533603,0.11487565461470664
golden,phi_anchor,binary_baseline,Binary Window,0.6360339887498948,0.01799999999999998,0.18,0.13,0.011,4096,0.161329647144821,0.0,0.9986013986013986,0.382762312633833,0.963134765625,0.087890625,0.0,0.2413335395761386,0.06488150920757875
golden,phi_anchor,binary_baseline,Binary Window,0.6420339887498948,0.02399999999999998,0.18,0.13,0.011,4096,0.5118936269800805,0.0,1.0,0.3909814323607427,0.96337890625,0.07958984375,0.0,0.3462438693440242,0.2047574507920322
golden,phi_anchor,binary_baseline,Binary Window,0.6480339887498948,0.029999999999999978,0.18,0.13,0.011,4096,0.49838131260874097,0.0,1.0,0.39194915254237284,0.962646484375,0.078125,0.0,0.3420436906576223,0.1993525250434964
golden,phi_anchor,binary_baseline,Binary Window,0.6540339887498947,0.035999999999999976,0.18,0.13,0.011,4096,0.16994686084641974,0.0,1.0,0.39141949152542377,0.96337890625,0.078125,0.0,0.24365983950392595,0.0679787443385679
golden,phi_anchor,binary_baseline,Binary Window,0.6600339887498947,0.041999999999999975,0.18,0.13,0.011,4096,0.5514254160690941,0.0,1.0,0.3907741251325557,0.96484375,0.0791015625,0.0,0.3583963748207283,0.22057016642763766
golden,phi_anchor,binary_baseline,Binary Window,0.6660339887498947,0.04799999999999997,0.18,0.13,0.011,4096,0.47001919709839,0.0,1.0,0.3913043478260869,0.96337890625,0.0791015625,0.0,0.333681540379517,0.188007678839356
golden,phi_anchor,binary_baseline,Binary Window,0.6720339887498947,0.05399999999999997,0.18,0.13,0.011,4096,0.47032215025253155,0.0,1.0,0.38949323427964977,0.964111328125,0.079833984375,0.0,0.33391891070075946,0.18812886010101262
golden,phi_anchor,binary_baseline,Binary Window,0.6780339887498947,0.05999999999999997,0.18,0.13,0.011,4096,0.17343498076733965,0.0,0.9986468200270636,0.39183457051961823,0.96435546875,0.0791015625,0.0,0.24519928757424791,0.06971228730016996
golden,phi_anchor,binary_baseline,Binary Window,0.5580339887498948,-0.06,0.24,0.0,0.0,4096,0.4755896622417478,0.0,1.0,0.5367185367185368,0.96435546875,0.105712890625,0.0,0.3355479924225243,0.19023586489669914
golden,phi_anchor,binary_baseline,Binary Window,0.5640339887498947,-0.054,0.24,0.0,0.0,4096,0.3447573801073125,0.0,1.0,0.5363189513926816,0.966064453125,0.10595703125,0.0,0.29664010465719376,0.137902952042925
golden,phi_anchor,binary_baseline,Binary Window,0.5700339887498947,-0.048,0.24,0.0,0.0,4096,0.43220063354242166,0.0,1.0,0.5363189513926816,0.963623046875,0.10595703125,0.0,0.3223847994377265,0.17288025341696867
golden,phi_anchor,binary_baseline,Binary Window,0.5760339887498948,-0.042,0.24,0.0,0.0,4096,0.5324925214116563,0.0,1.0,0.5361725361725362,0.96240234375,0.105712890625,0.0,0.3522282251734969,0.21299700856466253
golden,phi_anchor,binary_baseline,Binary Window,0.5820339887498948,-0.036000000000000004,0.24,0.0,0.0,4096,0.4221113906358135,0.0,0.9989827060020345,0.5365720524017468,0.964599609375,0.10546875,0.0,0.3197771437452964,0.16909887975381677
