flow,family,alpha,best_delay,best_slot_count,recall_window,recall_gain,drift_rate,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,pollution,phase_lock_resistance,score
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.0,0.3,0.7577092511013216,0.43107769423558895,0.1232583065380493,0.021436227224008574,1.0,1.0,0.0,0.11201563008791925,0.5303783499617494,0.8111507466127655
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.0,0.44,0.7577092511013216,0.43107769423558895,0.1232583065380493,0.021436227224008574,1.0,1.0,0.0,0.11201563008791925,0.5303783499617494,0.8111507466127655
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.48632218844984804,0.18,0.7107843137254902,0.4154727793696275,0.1307609860664523,0.12111468381564845,0.513677811550152,0.513677811550152,0.3252279635258359,0.09443178117876913,0.5491845539496258,0.6277521538095571
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.43854748603351956,0.3,0.7377049180327869,0.42452830188679247,0.12433011789924973,0.08038585209003216,0.5614525139664804,0.5614525139664804,0.1787709497206704,0.10192119830674047,0.5385793120174389,0.6749561063087068
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.43169398907103823,0.44,0.7669683257918553,0.43405889884763127,0.11468381564844587,0.04823151125401929,0.5683060109289617,0.5683060109289617,0.08469945355191257,0.10973624226636275,0.5371419473385157,0.708646480014581
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.49244712990936557,0.18,0.7093596059113301,0.414985590778098,0.1307609860664523,0.12540192926045016,0.5075528700906344,0.5075528700906344,0.3413897280966767,0.09378052751546727,0.5464888680371729,0.6222349815730002
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.4419889502762431,0.3,0.7511737089201878,0.4289544235924933,0.12218649517684887,0.0782422293676313,0.5580110497237569,0.5580110497237569,0.17679558011049723,0.10354933246499512,0.5382710453493964,0.6781830905338879
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.42857142857142855,0.44,0.7488584474885844,0.4281984334203655,0.12004287245444802,0.05894962486602358,0.5714285714285714,0.5714285714285714,0.0989010989010989,0.10615434711820254,0.5359419165620969,0.7004392148304561
random_cf_1,random_cf,0.10978777645362256,21,13,13,0.06,0.0,0.18,0.7869565217391304,0.44038929440389296,0.09659714599341383,0.0010976948408342481,1.0,1.0,0.0,0.09964181048518397,0.5830173172693964,0.8270055543035305
random_cf_1,random_cf,0.10978777645362256,21,13,13,0.06,0.0,0.3,0.7869565217391304,0.44038929440389296,0.09659714599341383,0.0010976948408342481,1.0,1.0,0.0,0.09964181048518397,0.5830173172693964,0.8270055543035305
random_cf_1,random_cf,0.10978777645362256,21,13,13,0.06,0.0,0.44,0.7869565217391304,0.44038929440389296,0.09659714599341383,0.0010976948408342481,1.0,1.0,0.0,0.09964181048518397,0.5830173172693964,0.8270055543035305
random_cf_1,random_cf,0.10978777645362256,21,13,13,0.06,0.3652173913043478,0.18,0.7559241706161137,0.43049932523616735,0.11525795828759605,0.07135016465422613,0.6347826086956522,0.6347826086956522,0.2782608695652174,0.08954737870400521,0.5935672470097171,0.6600305630904992
random_cf_1,random_cf,0.10978777645362256,21,13,13,0.06,0.3794466403162055,0.3,0.7664399092970522,0.4338896020539153,0.10537870472008781,0.03951701427003293,0.6205533596837944,0.6205533596837944,0.13043478260869565,0.095083034842071,0.5870812702893073,0.7046330577793406
