name,family,alpha,window_size,phase,balance_score,balance_spread,complexity_deviation,periodicity_match,write_count,witness_count,release_count,pollution,delayed_retention,compression_score,tradeoff_score
near_golden_p0_010,near_golden,0.6280339887498948,0.34,0.0,0.2727272727272727,3.0,0.6414908323999232,0.0,2916.0,1180.0,0.0,0.0013717421124828531,1.0,11.567100127723432,2.9866630254677338
near_golden_p0_010,near_golden,0.6280339887498948,0.34,0.17,0.2727272727272727,3.0,0.6414908323999232,0.0,2916.0,1180.0,0.0,0.0013717421124828531,1.0,11.567100127723432,2.9866630254677338
near_golden_p0_010,near_golden,0.6280339887498948,0.47,0.0,0.18181818181818182,3.0,0.6945211354302263,0.0,3850.0,104.0,142.0,0.001038961038961039,0.0,9.988401939957512,1.8344599814791005
near_golden_p0_010,near_golden,0.6280339887498948,0.47,0.17,0.18181818181818182,3.0,0.6945211354302263,0.0,3850.0,104.0,142.0,0.001038961038961039,0.0,9.988401939957512,1.8344599814791005
near_golden_p0_020,near_golden,0.6380339887498948,0.2,0.0,0.2727272727272727,3.0,0.5391098800189709,0.0,2922.0,1174.0,0.0,0.0013689253935660506,0.0,10.84436357632082,1.8834539006115372
near_golden_p0_020,near_golden,0.6380339887498948,0.2,0.17,0.2727272727272727,3.0,0.5391098800189709,0.0,2922.0,1174.0,0.0,0.0013689253935660506,0.0,10.84436357632082,1.8834539006115372
near_golden_p0_020,near_golden,0.6380339887498948,0.34,0.0,0.36363636363636365,2.0,0.6414908323999232,0.006134969325153374,3559.0,537.0,0.0,0.0008429334082607474,0.0,12.388003430432242,1.9196237690938025
near_golden_p0_020,near_golden,0.6380339887498948,0.34,0.17,0.36363636363636365,2.0,0.6414908323999232,0.006134969325153374,3559.0,537.0,0.0,0.0008429334082607474,0.0,12.388003430432242,1.9196237690938025
near_golden_p0_020,near_golden,0.6380339887498948,0.47,0.0,0.18181818181818182,3.0,0.6945211354302263,0.0,3313.0,783.0,0.0,0.0009055236945366737,0.0,9.84498615048453,1.8339294834619622
near_golden_p0_020,near_golden,0.6380339887498948,0.47,0.17,0.18181818181818182,3.0,0.6945211354302263,0.0,3313.0,783.0,0.0,0.0009055236945366737,0.0,9.84498615048453,1.8339294834619622
rational_1_2,rational_approx,0.5,0.2,0.0,1.0,1.0,0.6945211354302263,0.5,4092.0,4.0,0.0,0.0012218963831867058,0.0,32.25196850393701,1.442329569507624
rational_1_2,rational_approx,0.5,0.2,0.17,1.0,0.0,0.8472605677151133,1.0,4092.0,4.0,0.0,0.0012218963831867058,0.0,45.010989010989015,1.4990224828934506
rational_1_2,rational_approx,0.5,0.34,0.0,1.0,1.0,0.6945211354302263,0.5,4092.0,4.0,0.0,0.0012218963831867058,0.0,32.25196850393701,1.442329569507624
rational_1_2,rational_approx,0.5,0.34,0.17,1.0,0.0,0.8472605677151133,1.0,4092.0,4.0,0.0,0.0012218963831867058,0.0,45.010989010989015,1.4990224828934506
rational_1_2,rational_approx,0.5,0.47,0.0,1.0,1.0,0.6945211354302263,0.5,4092.0,4.0,0.0,0.0012218963831867058,0.0,32.25196850393701,1.442329569507624
rational_1_2,rational_approx,0.5,0.47,0.17,1.0,0.0,0.8472605677151133,1.0,4092.0,4.0,0.0,0.0012218963831867058,0.0,45.010989010989015,1.4990224828934506
rational_2_3,rational_approx,0.6666666666666666,0.2,0.0,1.0,0.0,0.8472605677151133,1.0,4092.0,4.0,0.0,0.0012218963831867058,0.0,45.010989010989015,1.4990224828934506
rational_2_3,rational_approx,0.6666666666666666,0.2,0.17,1.0,0.0,0.8472605677151133,1.0,4092.0,4.0,0.0,0.0012218963831867058,0.0,45.010989010989015,1.4990224828934506
rational_2_3,rational_approx,0.6666666666666666,0.34,0.0,1.0,1.0,0.5417817031453395,0.3333333333333333,4092.0,4.0,0.0,0.0012218963831867058,0.0,26.425806451612903,1.4164418377321604
rational_2_3,rational_approx,0.6666666666666666,0.34,0.17,1.0,1.0,0.5417817031453395,0.3333333333333333,4092.0,4.0,0.0,0.0012218963831867058,0.0,26.425806451612903,1.4164418377321604
rational_2_3,rational_approx,0.6666666666666666,0.47,0.0,1.0,1.0,0.5417817031453395,0.3333333333333333,4092.0,4.0,0.0,0.0012218963831867058,0.0,26.425806451612903,1.4164418377321604
rational_2_3,rational_approx,0.6666666666666666,0.47,0.17,1.0,1.0,0.5417817031453395,0.3333333333333333,4092.0,4.0,0.0,0.0012218963831867058,0.0,26.425806451612903,1.4164418377321604
rational_3_5,rational_approx,0.6,0.2,0.0,1.0,1.0,0.3196361719088992,0.2,4092.0,4.0,0.0,0.0012218963831867058,0.0,16.891753837314496,1.734078615666674
rational_3_5,rational_approx,0.6,0.2,0.17,0.8181818181818182,2.0,0.1717330649148831,0.0,4090.0,6.0,0.0,0.0012224938875305623,0.0,16.891753837314496,2.183169046754108
