name,family,alpha,window_type,window_size,phase,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,write_count,witness_count,release_count,pollution,delayed_retention,compression_score,compression_score_cap,composite_score
silver,silver,0.41421356237309515,moving,0.34,0.0,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,2781.0,1314.0,1.0,0.0010787486515641855,1.0,10.158363078474032,45.010989010989015,4.433909927133355
silver,silver,0.41421356237309515,moving,0.34,0.17,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,2781.0,1314.0,1.0,0.0010787486515641855,1.0,10.158363078474032,45.010989010989015,4.433909927133355
silver,silver,0.41421356237309515,moving,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3410.0,686.0,0.0,0.01436950146627566,0.0,10.657503469239412,45.010989010989015,3.0731335216252114
silver,silver,0.41421356237309515,moving,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3410.0,686.0,0.0,0.01436950146627566,0.0,10.657503469239412,45.010989010989015,3.0731335216252114
silver,silver,0.41421356237309515,double,0.2,0.0,0.09090909090909091,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2808.0,1288.0,0.0,0.0014245014245014246,1.0,11.417421602787456,45.010989010989015,4.212701813256137
silver,silver,0.41421356237309515,double,0.2,0.17,0.09090909090909091,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2808.0,1288.0,0.0,0.0014245014245014246,1.0,11.417421602787456,45.010989010989015,4.212701813256137
silver,silver,0.41421356237309515,double,0.34,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3972.0,124.0,0.0,0.015357502517623363,0.0,12.553705201734216,45.010989010989015,3.093209284936294
silver,silver,0.41421356237309515,double,0.34,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3972.0,124.0,0.0,0.015357502517623363,0.0,12.553705201734216,45.010989010989015,3.093209284936294
silver,silver,0.41421356237309515,double,0.47,0.0,0.09090909090909091,4.0,0.2721072582271615,0.6945211354302263,0.0,257,3845.0,125.0,126.0,0.0013003901170351106,0.0,10.01116829380888,45.010989010989015,2.5972047025034164
silver,silver,0.41421356237309515,double,0.47,0.17,0.09090909090909091,4.0,0.2721072582271615,0.6945211354302263,0.0,257,3845.0,125.0,126.0,0.0013003901170351106,0.0,10.01116829380888,45.010989010989015,2.5972047025034164
bronze,bronze,0.30277563773199456,single,0.2,0.0,0.18181818181818182,3.0,0.20499078095443418,0.4932945842036751,0.0,257,2897.0,1198.0,1.0,0.00034518467380048324,0.0,11.261169224876332,45.010989010989015,3.2950901493809273
bronze,bronze,0.30277563773199456,single,0.2,0.17,0.18181818181818182,3.0,0.20499078095443418,0.4932945842036751,0.0,257,2897.0,1198.0,1.0,0.00034518467380048324,0.0,11.261169224876332,45.010989010989015,3.2950901493809273
