flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
silver,metallic,0.43821356237309517,21,13,0.22,0.7,13,0.12,0.44,0.8463203463203464,0.45838218053927315,0.07700534759358289,0.0106951871657754,0.0,0.0,0.040268456375838924,0.2751677852348993,0.38926174496644295,0.05275154672745034,0.580237561960546,0.49150126944086936
silver,metallic,0.43821356237309517,21,13,0.22,0.7,13,0.2,0.3,0.8183807439824945,0.4500601684717208,0.0748663101604278,0.03636363636363636,0.0,0.0,0.25384615384615383,0.3,0.35384615384615387,0.05470530771735591,0.583248302569292,0.41299350597361634
silver,metallic,0.43821356237309517,21,13,0.22,0.7,13,0.2,0.44,0.8401727861771058,0.4565727699530516,0.06951871657754011,0.019251336898395723,0.0,0.0,0.09271523178807947,0.304635761589404,0.40397350993377484,0.05177466623249756,0.5836997249224085,0.4715325194481267
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.06,0.44,0.8293736501079914,0.45336481700118064,0.07700534759358289,0.017112299465240642,0.0,0.0,0.04924242424242424,0.25757575757575757,0.3977272727272727,0.05307717355910127,0.5819325680280969,0.49140440048287964
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.12,0.18,0.7911832946635731,0.4417098445595855,0.08663101604278074,0.0877005347593583,0.0,0.0,0.35964912280701755,0.2543859649122807,0.42543859649122806,0.047215890589384565,0.591874560015482,0.40356868759938147
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.12,0.44,0.8446389496717724,0.4578884934756821,0.0748663101604278,0.023529411764705882,0.0,0.0,0.07569721115537849,0.24701195219123506,0.41434262948207173,0.05665906870726148,0.5819459069888451,0.4917036118029037
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.2,0.18,0.7725118483412322,0.4358288770053476,0.08663101604278074,0.11336898395721925,0.0,0.0,0.4525862068965517,0.25862068965517243,0.41379310344827586,0.045587756431129924,0.5931698913090713,0.3965429541915863
silver,metallic,0.43821356237309517,21,13,0.22,0.7,21,0.2,0.44,0.8388520971302428,0.4561824729891957,0.07165775401069518,0.0374331550802139,0.0,0.0,0.12096774193548387,0.2540322580645161,0.3870967741935484,0.05470530771735591,0.5668778321901791,0.4687971054115221
silver,metallic,0.43821356237309517,21,13,0.22,0.82,13,0.12,0.18,0.8056768558951966,0.44619105199516323,0.08235294117647059,0.033155080213903745,0.0,0.0,0.2265625,0.15625,0.6484375,0.05275154672745034,0.5863670025048298,0.4690002970747544
silver,metallic,0.43821356237309517,21,13,0.22,0.82,13,0.12,0.3,0.8042553191489362,0.44575471698113206,0.07379679144385026,0.019251336898395723,0.0,0.0,0.10687022900763359,0.16030534351145037,0.6335877862595419,0.05405405405405406,0.5846287782880832,0.5021446114529392
silver,metallic,0.43821356237309517,21,13,0.22,0.82,13,0.2,0.44,0.841541755888651,0.4569767441860465,0.07165775401069518,0.008556149732620321,0.0,0.0,0.027972027972027972,0.20279720279720279,0.6573426573426573,0.052425919895799415,0.5809877959005119,0.5216618802353276
silver,metallic,0.43821356237309517,21,13,0.22,0.82,21,0.06,0.18,0.7699115044247787,0.435,0.0877005347593583,0.05668449197860963,0.0,0.0,0.2222222222222222,0.15384615384615385,0.6282051282051282,0.05144903940084663,0.5878710267742147,0.4637377648138245
silver,metallic,0.43821356237309517,21,13,0.22,0.82,21,0.06,0.3,0.8185745140388769,0.4501187648456057,0.07914438502673797,0.020320855614973262,0.0,0.0,0.06584362139917696,0.15637860082304528,0.6584362139917695,0.05503093454900684,0.5842254434872587,0.5172741061771127
silver,metallic,0.43821356237309517,21,13,0.22,0.82,21,0.12,0.18,0.7923250564334086,0.4420654911838791,0.08983957219251337,0.06096256684491978,0.0,0.0,0.24778761061946902,0.1415929203539823,0.6327433628318584,0.053728427222403126,0.5911380016751637,0.46363399664983984
silver,metallic,0.43821356237309517,21,13,0.22,0.82,21,0.12,0.3,0.8140043763676149,0.4487334137515078,0.07914438502673797,0.034224598930481284,0.0,0.0,0.11297071129707113,0.15481171548117154,0.6317991631799164,0.05275154672745034,0.5667886629760355,0.5005395793627128
silver,metallic,0.43821356237309517,21,13,0.22,0.82,21,0.12,0.44,0.8469827586206896,0.45857642940490084,0.07165775401069518,0.011764705882352941,0.0,0.0,0.025830258302583026,0.17343173431734318,0.6531365313653137,0.053402800390752195,0.5792636357101117,0.5296110917655915
silver,metallic,0.43821356237309517,21,13,0.22,0.82,21,0.2,0.3,0.8167770419426048,0.44957472660996356,0.07593582887700535,0.04385026737967915,0.0,0.0,0.14937759336099585,0.15767634854771784,0.6348547717842323,0.05275154672745034,0.4458155076689473,0.4727662722405912
silver,metallic,0.43821356237309517,21,13,0.36,0.55,13,0.06,0.44,0.8423326133909287,0.45720984759671746,0.08021390374331551,0.0074866310160427805,0.0,0.0,0.0364963503649635,0.5912408759124088,0.21897810218978103,0.053402800390752195,0.5812752562390133,0.4446967398891268
silver,metallic,0.43821356237309517,21,13,0.36,0.55,13,0.12,0.18,0.7981651376146789,0.44387755102040816,0.0877005347593583,0.07379679144385026,0.0,0.0,0.536,0.584,0.176,0.05014653207424292,0.5888267226842672,0.33855763161359026
silver,metallic,0.43821356237309517,21,13,0.36,0.55,13,0.12,0.3,0.808695652173913,0.44711538461538464,0.07272727272727272,0.0374331550802139,0.0,0.0,0.2462686567164179,0.5597014925373134,0.17164179104477612,0.053402800390752195,0.5826937001451002,0.3694907023281543
silver,metallic,0.43821356237309517,21,13,0.36,0.55,13,0.2,0.18,0.7754629629629629,0.4367666232073012,0.0877005347593583,0.09197860962566845,0.0,0.0,0.671875,0.59375,0.1640625,0.04949527841094106,0.5905841348011771,0.3319680018949807
silver,metallic,0.43821356237309517,21,13,0.36,0.55,21,0.06,0.18,0.7723004694835681,0.4357615894039735,0.09518716577540107,0.09732620320855614,0.0,0.0,0.40625,0.5357142857142857,0.13839285714285715,0.045913383262780855,0.593384280640471,0.32715863155567276
silver,metallic,0.43821356237309517,21,13,0.36,0.55,21,0.06,0.3,0.7991169977924945,0.4441717791411043,0.07807486631016043,0.05026737967914439,0.0,0.0,0.19583333333333333,0.5333333333333333,0.1375,0.048518397915988276,0.587728901547532,0.3765369817552597
silver,metallic,0.43821356237309517,21,13,0.36,0.55,21,0.2,0.18,0.7396593673965937,0.4251748251748252,0.09411764705882353,0.1411764705882353,0.0,0.0,0.6285714285714286,0.5428571428571428,0.15714285714285714,0.040377727124715074,0.5955457084755857,0.32358441707042124
silver,metallic,0.43821356237309517,21,13,0.36,0.7,13,0.06,0.44,0.834051724137931,0.45475910693301996,0.07807486631016043,0.011764705882352941,0.0,0.0,0.056338028169014086,0.4225352112676056,0.3873239436619718,0.05405405405405406,0.5629463725967707,0.4647302002562669
silver,metallic,0.43821356237309517,21,13,0.36,0.7,13,0.12,0.18,0.8040089086859689,0.445679012345679,0.08342245989304813,0.05026737967914439,0.0,0.0,0.3560606060606061,0.4015151515151515,0.42424242424242425,0.04819277108433735,0.5864065784608041,0.3841900195434036
