name,family,alpha,window_size,phase,window_mode,drift_scale,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,tradeoff_score
silver,silver,0.41421356237309515,0.34,0.0,double,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.247658250840069
silver,silver,0.41421356237309515,0.34,0.17,moving,0.03,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.008928571428571428,112,2.2552069521387703
silver,silver,0.41421356237309515,0.34,0.17,moving,0.07,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,2.495385523567342
silver,silver,0.41421356237309515,0.34,0.17,moving,0.11,0.2727272727272727,2.0,0.23801634913625236,0.6414908323999232,0.0,257,2.631749159930978
silver,silver,0.41421356237309515,0.34,0.17,double,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.247658250840069
silver,silver,0.41421356237309515,0.47,0.0,moving,0.03,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.008928571428571428,112,2.0074796794114977
silver,silver,0.41421356237309515,0.47,0.0,moving,0.07,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.247658250840069
silver,silver,0.41421356237309515,0.47,0.0,moving,0.11,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.247658250840069
silver,silver,0.41421356237309515,0.47,0.0,double,0.0,0.09090909090909091,4.0,0.2721072582271615,0.6945211354302263,0.0,257,1.9112946144764327
silver,silver,0.41421356237309515,0.47,0.17,moving,0.03,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.008928571428571428,112,2.0074796794114977
silver,silver,0.41421356237309515,0.47,0.17,moving,0.07,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.247658250840069
silver,silver,0.41421356237309515,0.47,0.17,moving,0.11,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.247658250840069
silver,silver,0.41421356237309515,0.47,0.17,double,0.0,0.09090909090909091,4.0,0.2721072582271615,0.6945211354302263,0.0,257,1.9112946144764327
bronze,bronze,0.30277563773199456,0.2,0.0,moving,0.03,0.2727272727272727,3.0,0.21244816731807054,0.567248408157499,0.0,257,2.49856734174916
bronze,bronze,0.30277563773199456,0.2,0.0,moving,0.07,0.2727272727272727,3.0,0.21244816731807054,0.567248408157499,0.0,257,2.49856734174916
bronze,bronze,0.30277563773199456,0.2,0.0,moving,0.11,0.36363636363636365,2.0,0.21244816731807054,0.567248408157499,0.0,257,2.8349309781127965
bronze,bronze,0.30277563773199456,0.2,0.0,double,0.0,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.005555555555555556,180,2.6988920170738355
bronze,bronze,0.30277563773199456,0.2,0.17,moving,0.03,0.2727272727272727,3.0,0.21244816731807054,0.567248408157499,0.0,257,2.49856734174916
bronze,bronze,0.30277563773199456,0.2,0.17,moving,0.07,0.2727272727272727,3.0,0.21244816731807054,0.567248408157499,0.0,257,2.49856734174916
bronze,bronze,0.30277563773199456,0.2,0.17,moving,0.11,0.36363636363636365,2.0,0.21244816731807054,0.567248408157499,0.0,257,2.8349309781127965
bronze,bronze,0.30277563773199456,0.2,0.17,double,0.0,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.005555555555555556,180,2.6988920170738355
bronze,bronze,0.30277563773199456,0.34,0.0,moving,0.03,0.18181818181818182,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.4476582508400693
bronze,bronze,0.30277563773199456,0.34,0.0,moving,0.07,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.247658250840069
bronze,bronze,0.30277563773199456,0.34,0.0,moving,0.11,0.18181818181818182,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.4476582508400693
