mode,flow,family,alpha,offset,delay,slot_count,window_width,stack_gain,stack_decay,groove_gain,groove_decay,phase_gain,relation_gain,write_threshold,rupture_threshold,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,groove_rate,relation_rate,phase_hit_rate,total_groove,max_groove,pollution,phase_lock_resistance,score
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,21,0.3,0.3,0.975,0.1,0.995,0.16,0.36,0.72,1.6,139.0,721.0,0.1927877947295423,0.16162790697674417,0.35240963855421686,0.0,0.6581325301204819,0.0,0.0,4.873836139104347,0.16816954400250858,0.04363399544122436,0.40918308007462034,0.43096405702805324
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,21,0.3,0.3,0.975,0.1,0.995,0.16,0.36,0.72,1.6,147.0,728.0,0.20192307692307693,0.168,0.3460388639760837,0.0,0.6569506726457399,0.0,0.0,4.916474810912694,0.1866725118740729,0.04623901009443178,0.4433354559064906,0.4386681789177214
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,21,0.3,0.3,0.975,0.1,0.995,0.16,0.36,0.72,1.6,147.0,682.0,0.2155425219941349,0.1773220747889023,0.38455827765404604,0.0,0.6028210838901262,0.0,0.0,4.875131817220095,0.16841685950936305,0.0475415174210355,0.48957164619205307,0.446728442511653
slot_stack,golden,phi,0.5820339887498948,-0.036,8,21,0.3,0.3,0.992,0.1,0.995,0.32,0.36,0.54,1.6,451.0,776.0,0.5811855670103093,0.36756316218418905,0.09779411764705882,0.0,0.7625,0.0,0.0,4.896522659538924,0.2546324474079628,0.05535656138065777,0.4676189962308105,0.5469850005548492
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,21,0.3,0.3,0.992,0.1,0.995,0.32,0.36,0.54,1.6,446.0,747.0,0.5970548862115127,0.3738474434199497,0.10970149253731343,0.0,0.7701492537313432,0.0,0.0,4.934211581949163,0.17560292733401386,0.06447411266688376,0.48036697489397573,0.5510592670957264
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,21,0.3,0.3,0.992,0.1,0.995,0.32,0.36,0.54,1.6,427.0,746.0,0.5723860589812333,0.3640238704177323,0.12331838565022421,0.0,0.680119581464873,0.0,0.0,4.880459442892214,0.32955370665239064,0.08108108108108109,0.5383713035602584,0.5523096499004645
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,21,0.3,0.3,0.992,0.1,0.995,0.32,0.36,0.54,1.6,634.0,1064.0,0.5958646616541353,0.37338044758539457,0.03156708004509583,0.011273957158962795,0.9684329199549042,0.0,0.0,6.354350979745714,0.7165130152673105,0.0778248127645718,0.42890456545288147,0.5459284572162937
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,21,0.3,0.3,0.992,0.1,0.995,0.32,0.36,0.54,1.6,404.0,727.0,0.5557083906464925,0.3572060123784262,0.14834337349397592,0.0,0.6581325301204819,0.0,0.0,4.873836139104347,0.16816954400250858,0.0928036470205145,0.42261927272139943,0.5289032412262346
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,21,0.3,0.3,0.992,0.1,0.995,0.32,0.36,0.54,1.6,413.0,689.0,0.5994194484760522,0.37477313974591653,0.17638266068759342,0.0,0.6569506726457399,0.0,0.0,4.916474810912694,0.1866725118740729,0.11657440573103224,0.4625134966046488,0.5412556708561675
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,21,0.3,0.3,0.992,0.1,0.995,0.32,0.36,0.54,1.6,394.0,733.0,0.5375170532060027,0.34960070984915703,0.1633259094283593,0.0,0.6028210838901262,0.0,0.0,4.875131817220095,0.16841685950936305,0.11429501790947574,0.4954846347853832,0.5333484807238535
