anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_closure_age,memory_capacity,write_count,release_count,witness_expired,delayed_retention,pollution,witness_conversion,mean_closure_latency,return_interval_diversity,phase_lock_resistance,symmetry_balance,rigidity_after_perturbation,center_share,composite_score,surrogate_base_score
golden,phi_anchor,flat_ternary,Flat Ternary,0.6720339887498947,0.05399999999999997,0.18,0.0,0.011,4096,4,34,0.0,3476.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5045730540858453,1.0,0.96826171875,0.8486328125,0.5183810102641875,0.37155483838918746
golden,phi_anchor,flat_ternary,Flat Ternary,0.6780339887498947,0.05999999999999997,0.18,0.0,0.011,4096,4,34,0.0,3477.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2905689461403579,0.8885298869143781,0.967529296875,0.848876953125,0.43997286572094063,0.2987934416877217
golden,phi_anchor,flat_ternary,Flat Ternary,0.5580339887498948,-0.06,0.18,0.0,0.011,4096,13,34,305.0,3476.0,0.0,1.0,0.0,0.49193548387096775,5.508196721311475,0.415325221507083,0.557048695395622,0.9967741935483871,0.967529296875,0.8486328125,0.9460691050469133,0.7579449435312856
golden,phi_anchor,flat_ternary,Flat Ternary,0.5640339887498947,-0.054,0.18,0.0,0.011,4096,13,34,294.0,3477.0,0.0,1.0,0.1054421768707483,0.47495961227786754,6.666666666666667,0.41948705308067763,0.5679945142354161,0.9983844911147012,0.967041015625,0.848876953125,0.9260944611022108,0.737522429675908
golden,phi_anchor,flat_ternary,Flat Ternary,0.5700339887498947,-0.048,0.18,0.0,0.011,4096,13,34,259.0,3481.0,0.0,1.0,0.0,0.4211382113821138,2.8455598455598454,0.47432025287958685,0.5831761241376727,0.9983739837398374,0.9677734375,0.849853515625,0.9482128284805398,0.7540847602555892
golden,phi_anchor,flat_ternary,Flat Ternary,0.5760339887498948,-0.042,0.18,0.0,0.011,4096,13,34,268.0,3478.0,0.0,0.9962825278810409,0.4253731343283582,0.4336569579288026,3.5223880597014925,0.8274925781310637,0.5857686088668748,0.9967637540453075,0.96728515625,0.84912109375,0.9004200215233134,0.6711040603829417
golden,phi_anchor,flat_ternary,Flat Ternary,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.011,4096,13,34,303.0,3467.0,0.0,1.0,0.0,0.48171701112877585,5.0,0.0,0.2678045588953353,0.9984101748807631,0.96826171875,0.846435546875,0.8045092926466318,0.6577626120275937
golden,phi_anchor,flat_ternary,Flat Ternary,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.011,4096,13,34,298.0,3477.0,0.0,1.0,0.07718120805369127,0.481421647819063,2.412751677852349,0.42830274142565994,0.3880869176653027,0.9983844911147012,0.968505859375,0.848876953125,0.8727692916386972,0.6831692070028961
golden,phi_anchor,flat_ternary,Flat Ternary,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.011,4096,13,34,285.0,3478.0,0.0,1.0,0.0035087719298245615,0.46116504854368934,2.7649122807017545,0.5934230517486045,0.29260772050697403,0.9967637540453075,0.9677734375,0.84912109375,0.8677524159513962,0.6617945793242703
golden,phi_anchor,flat_ternary,Flat Ternary,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.011,4096,13,34,279.0,3481.0,0.0,0.9964285714285714,0.34408602150537637,0.45365853658536587,5.526881720430108,0.7186550274569092,0.5111359809916007,0.9983739837398374,0.9677734375,0.849853515625,0.8841891115041177,0.6656275658214349
