flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,13,0.72,0.08,5,1.8,0.14,0.04,0.24,0.6876267748478702,0.4074519230769231,0.006775832862789385,0.053642010163749296,0.3787620670073822,0.1408290743895514,0.3787620670073822,0.05337876206700738,0.0,0.6212379329926179,5.76171875,0.08759361771409964,0.4344794601346298,0.7367359753335379
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,8,0.55,0.14,5,1.8,0.14,0.04,0.24,0.7375518672199171,0.4244776119402985,0.007340485601355167,0.04686617730095991,0.3339011925042589,0.14537194775695628,0.3339011925042589,0.04258943781942078,0.0,0.666098807495741,5.76171875,0.09150113969391079,0.4385869576997973,0.7262216171284817
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,13,0.72,0.08,3,1.2,0.14,0.04,0.24,0.8337078651685393,0.45465686274509803,0.004517221908526256,0.07396950875211744,0.38531587933978373,0.1707455890722823,0.38531587933978373,0.07057484348321001,0.0,0.6146841206602163,3.45703125,0.09996743731683491,0.4728025693619389,0.7681284137431628
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,8,0.55,0.14,5,1.8,0.08,0.04,0.24,0.7237113402061855,0.41985645933014354,0.007340485601355167,0.048560135516657256,0.33446905167518454,0.1408290743895514,0.33446905167518454,0.044860874503123226,0.0,0.6655309483248154,5.76171875,0.08987300553565614,0.43691232318401574,0.722613248148316
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,13,0.55,0.08,3,1.8,0.08,0.04,0.24,0.84251968503937,0.45726495726495725,0.004517221908526256,0.07058159232072275,0.3597040409789414,0.1508252703471827,0.3597040409789414,0.06772908366533864,0.0,0.6402959590210586,3.45703125,0.10615434711820254,0.4736911834578954,0.7547316256426765
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,13,0.72,0.14,5,1.2,0.14,0.04,0.36,0.8809523809523809,0.46835443037974683,0.005081874647092038,0.01355166572557877,0.3594548551959114,0.1964792731402612,0.3594548551959114,0.0056785917092561046,0.0,0.6405451448040886,5.76171875,0.1045262129599479,0.44814626045764194,0.7839996403230962
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,13,0.72,0.14,5,1.2,0.14,0.08,0.24,0.7717976318622174,0.4356014580801944,0.007340485601355167,0.06324110671936758,0.36059057353776264,0.16978989210675752,0.36059057353776264,0.055650198750709826,0.0,0.6394094264622374,5.76171875,0.08987300553565614,0.4403519459873282,0.7448994109855576
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.08,8,0.55,0.14,3,1.8,0.08,0.08,0.36,0.7438524590163934,0.42655699177438305,0.07914438502673797,0.0106951871657754,0.6894409937888198,0.14440993788819875,0.6894409937888198,0.009316770186335404,0.0,0.3105590062111801,1.81640625,0.04916965157929013,0.5813227750134431,0.8142186731726208
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.08,8,0.72,0.08,3,1.8,0.14,0.04,0.24,0.6985138004246284,0.41125,0.11550802139037433,0.028877005347593583,0.7327868852459016,0.14918032786885246,0.7327868852459016,0.04426229508196721,0.0,0.26721311475409837,1.81640625,0.048518397915988276,0.4470001152613309,0.7688260386598856
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.14,13,0.55,0.08,3,1.2,0.08,0.08,0.24,0.7048832271762208,0.41344956413449563,0.11016042780748662,0.031016042780748664,0.7471264367816092,0.15435139573070608,0.7471264367816092,0.041050903119868636,0.0,0.25287356321839083,1.81640625,0.045587756431129924,0.4478063388655582,0.7692617365005523
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.2,8,0.72,0.08,3,1.2,0.14,0.04,0.24,0.7264957264957265,0.4207920792079208,0.09304812834224599,0.0427807486631016,0.7443365695792881,0.1634304207119741,0.7443365695792881,0.045307443365695796,0.0,0.255663430420712,1.81640625,0.046890263757733634,0.5909648153966804,0.7930302715502553
