flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.12,0.12,0.24,0.8210947930574098,0.4508797653958944,0.003952569169960474,0.22586109542631283,0.6214511041009464,0.6214511041009464,0.39747634069400634,0.3280757097791798,0.3785488958990536,0.07977857375447737,0.4478933208560185,0.6606817260407428
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.08,0.04,0.36,0.8948051948051948,0.4722412611377656,0.003952569169960474,0.17221908526256352,0.6138079827400216,0.6138079827400216,0.2168284789644013,0.343042071197411,0.3861920172599784,0.08498860306089222,0.4483317938740776,0.7003329645443179
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.2,0.12,0.04,0.36,0.8264462809917356,0.45248868778280543,0.003952569169960474,0.24731789949181254,0.6274738067520372,0.6274738067520372,0.24330616996507567,0.35273573923166474,0.37252619324796277,0.07359166395310973,0.4819828984773348,0.67994181218699
golden,phi,0.6180339887498948,13,13,0.12,0.68,13,0.08,0.04,0.04,0.36,0.8908246225319396,0.4711302211302211,0.003952569169960474,0.07679277244494635,0.506006006006006,0.506006006006006,0.12612612612612611,0.16066066066066065,0.493993993993994,0.10843373493975904,0.4634995906634881,0.7706069910012883
golden,phi,0.6180339887498948,13,13,0.12,0.68,13,0.14,0.04,0.04,0.36,0.910271546635183,0.4765142150803461,0.003952569169960474,0.08243929983060418,0.5126676602086438,0.5126676602086438,0.14008941877794337,0.16989567809239942,0.4873323397913562,0.10810810810810811,0.46096766404198986,0.7671007378373715
golden,phi,0.6180339887498948,13,13,0.12,0.68,13,0.14,0.04,0.08,0.36,0.9090909090909091,0.47619047619047616,0.003952569169960474,0.08300395256916997,0.5134328358208955,0.5134328358208955,0.14029850746268657,0.1701492537313433,0.48656716417910445,0.10778248127645718,0.46092970669260913,0.7667551347656877
golden,phi,0.6180339887498948,13,13,0.12,0.68,13,0.14,0.08,0.04,0.24,0.8622386223862238,0.4630118890356671,0.003952569169960474,0.1411631846414455,0.5168539325842697,0.5168539325842697,0.30658105939004815,0.17174959871589085,0.48314606741573035,0.09182676652556171,0.4398494566360158,0.7005064068027107
golden,phi,0.6180339887498948,13,13,0.12,0.68,21,0.08,0.12,0.12,0.24,0.808041504539559,0.4469153515064562,0.003952569169960474,0.20892151326933936,0.524788391777509,0.524788391777509,0.2877871825876663,0.17654171704957677,0.4752116082224909,0.07456854444806252,0.4689445532064608,0.6962770457915557
golden,phi,0.6180339887498948,13,13,0.12,0.68,21,0.14,0.04,0.04,0.36,0.9096385542168675,0.47634069400630913,0.003952569169960474,0.10107284020327499,0.5074626865671642,0.5074626865671642,0.13859275053304904,0.1652452025586354,0.4925373134328358,0.10224682513839141,0.4725764746010249,0.7696577519343741
golden,phi,0.6180339887498948,13,13,0.12,0.68,21,0.2,0.04,0.12,0.24,0.8606658446362515,0.4625579854208085,0.003952569169960474,0.14398644833427443,0.5098039215686274,0.5098039215686274,0.26412918108419836,0.1637831603229527,0.49019607843137253,0.08987300553565614,0.4680803173963137,0.7176970234851227
golden,phi,0.6180339887498948,13,13,0.12,0.78,13,0.08,0.04,0.12,0.24,0.8241379310344827,0.45179584120982985,0.003952569169960474,0.09994353472614342,0.3958664546899841,0.3958664546899841,0.2273449920508744,0.0,0.604133545310016,0.09703679583197655,0.45724219533242216,0.75274758388408
golden,phi,0.6180339887498948,13,13,0.12,0.78,13,0.08,0.08,0.04,0.24,0.8225616921269095,0.4513217279174726,0.003952569169960474,0.12027103331451157,0.401305057096248,0.401305057096248,0.23491027732463296,0.0,0.598694942903752,0.09443178117876913,0.4606742686409756,0.752779531290019
golden,phi,0.6180339887498948,13,13,0.12,0.78,21,0.14,0.08,0.04,0.36,0.8786407766990292,0.46770025839793283,0.003952569169960474,0.12196499153020893,0.40852974186307517,0.40852974186307517,0.14814814814814814,0.0,0.5914702581369248,0.08987300553565614,0.46540282744621164,0.7926616848097379
golden,phi,0.6180339887498948,13,13,0.12,0.78,21,0.2,0.04,0.04,0.24,0.8290398126463701,0.4532650448143406,0.003952569169960474,0.11405985319028797,0.3787128712871287,0.3787128712871287,0.20544554455445543,0.0,0.6212871287128713,0.09475740801042006,0.4588638233438054,0.7488087059748159
golden,phi,0.6180339887498948,13,13,0.12,0.78,21,0.2,0.08,0.12,0.24,0.8396572827417381,0.4564204923486361,0.003952569169960474,0.14737436476566912,0.40048543689320387,0.40048543689320387,0.2196601941747573,0.0,0.5995145631067961,0.08498860306089222,0.47023518816131393,0.7617968191524787
golden,phi,0.6180339887498948,13,13,0.12,0.78,21,0.2,0.12,0.12,0.36,0.8379746835443038,0.4559228650137741,0.003952569169960474,0.176171654432524,0.4231651376146789,0.4231651376146789,0.17087155963302753,0.0,0.5768348623853211,0.08368609573428851,0.46555452002142494,0.7762724314368132
